Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d012724-0min-OA-R2,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,10000,12,833.333,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012724-0min-OA-R2,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,9644,12,803.667,96.440,96.440,532763,112843,509490,106243,455640,103419,146608.71,41273.47,27.52,36.58,143341.47,31599.39,28.13,29.74
d012724-0min-OA-R2,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,5514,12,459.500,55.140,99.964,488559,498345,477972,484179,455389,476291,112164.52,127582.78,22.96,25.60,113349.96,130255.30,23.71,26.90
d012724-0min-OA-R2,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,5516,12,459.667,55.160,55.160,488583,498444,478045,484232,455389,476291,112154.30,127672.02,22.96,25.61,113430.02,130308.68,23.73,26.91
d012724-0min-OA-R2,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,5514,12,459.500,55.140,55.140,3077,N/A,2849,N/A,3556,N/A,1418.64,N/A,46.10,N/A,1221.66,N/A,42.89,N/A
d012724-0min-OA-R2,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,5516,12,459.667,55.160,57.196,488583,87,478045,86,455389,86,112154.30,8.21,22.96,9.42,113430.02,8.90,23.73,10.34
d012724-0min-OA-R2,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,9644,12,803.667,96.440,96.440,532763,104,509490,95,455640,86,146608.71,30.19,27.52,29.13,143341.47,17.79,28.13,18.73
d012724-0min-OA-R2,0min,0min,A1.fcs,A1,Experiment,None,,Voltage,BL1-H,,4434,12,369.500,44.340,44.340,4563,N/A,4304,N/A,3582,N/A,1071.32,N/A,23.48,N/A,1034.85,N/A,24.04,N/A
d012724-0min-OA-R2,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,31,967.742,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012724-0min-OA-R2,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,26621,31,858.742,88.737,88.737,525027,118095,498422,109418,474027,91111,154824.35,45474.91,29.49,38.51,152844.20,34749.18,30.67,31.76
d012724-0min-OA-R2,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13762,31,443.935,45.873,99.906,469116,483049,457144,465821,428988,398421,110717.73,130526.34,23.60,27.02,108418.83,131134.49,23.72,28.15
d012724-0min-OA-R2,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,13775,31,444.355,45.917,45.917,469347,483416,457253,465893,428988,398421,110973.62,131028.98,23.64,27.10,108631.58,131269.40,23.76,28.18
d012724-0min-OA-R2,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,13762,31,443.935,45.873,45.873,2437,N/A,2239,N/A,2760,N/A,1180.98,N/A,48.46,N/A,970.36,N/A,43.35,N/A
d012724-0min-OA-R2,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,13775,31,444.355,45.917,51.745,469347,86,457253,85,428988,87,110973.62,8.33,23.64,9.67,108631.58,8.90,23.76,10.47
d012724-0min-OA-R2,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,26621,31,858.742,88.737,88.737,525027,107,498422,96,474027,92,154824.35,35.92,29.49,33.49,152844.20,20.76,30.67,21.62
d012724-0min-OA-R2,0min,0min,A2.fcs,A2,Experiment,None,,Voltage,BL1-H,,8447,31,272.484,28.157,28.157,4522,N/A,4222,N/A,3259,N/A,1090.83,N/A,24.12,N/A,1020.03,N/A,24.16,N/A
