Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d012424-0min-PC-veri-R2,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,10000,11,909.091,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012424-0min-PC-veri-R2,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,9622,11,874.727,96.220,96.220,526467,113986,502318,106885,484331,111708,145467.25,43165.95,27.63,37.87,140180.57,31747.65,27.91,29.70
d012424-0min-PC-veri-R2,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,5291,11,481.000,52.910,99.962,483583,491734,473821,477825,476013,510843,109552.52,123811.66,22.65,25.18,111660.53,127076.61,23.57,26.59
d012424-0min-PC-veri-R2,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,5293,11,481.182,52.930,52.930,483656,491847,473860,477855,476078,510843,109667.11,123946.49,22.67,25.20,111614.57,127121.09,23.55,26.60
d012424-0min-PC-veri-R2,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,5291,11,481.000,52.910,52.910,3214,N/A,2969,N/A,3902,N/A,1483.18,N/A,46.15,N/A,1226.11,N/A,41.30,N/A
d012424-0min-PC-veri-R2,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,5293,11,481.182,52.930,55.009,483656,88,473860,87,476078,86,109667.11,7.56,22.67,8.56,111614.57,7.41,23.55,8.52
d012424-0min-PC-veri-R2,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,9622,11,874.727,96.220,96.220,526467,105,502318,96,484331,86,145467.25,30.19,27.63,28.69,140180.57,16.31,27.91,16.99
d012424-0min-PC-veri-R2,0min,0min,A1.fcs,A1,Experiment,None,,Voltage,BL1-H,,4561,11,414.636,45.610,45.610,4596,N/A,4319,N/A,3584,N/A,1088.75,N/A,23.69,N/A,1042.27,N/A,24.13,N/A
d012424-0min-PC-veri-R2,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,36,833.333,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012424-0min-PC-veri-R2,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28265,36,785.139,94.217,94.217,550225,122600,525051,115875,543835,119841,153000.48,43280.29,27.81,35.30,154042.14,34147.24,29.34,29.47
d012424-0min-PC-veri-R2,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13799,36,383.306,45.997,99.935,486228,502685,478136,488870,435155,447416,106257.35,126700.14,21.85,25.20,105651.56,129121.11,22.10,26.41
d012424-0min-PC-veri-R2,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,13808,36,383.556,46.027,46.027,486434,502942,478190,488922,435155,447416,106535.54,127065.69,21.90,25.26,105740.51,129213.78,22.11,26.43
d012424-0min-PC-veri-R2,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,13799,36,383.306,45.997,45.997,124,N/A,116,N/A,97,N/A,56.26,N/A,45.20,N/A,45.96,N/A,39.62,N/A
d012424-0min-PC-veri-R2,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,13808,36,383.556,46.027,48.852,486434,89,478190,88,435155,86,106535.54,7.72,21.90,8.70,105740.51,7.41,22.11,8.42
d012424-0min-PC-veri-R2,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,28265,36,785.139,94.217,94.217,550225,110,525051,100,543835,86,153000.48,33.73,27.81,30.58,154042.14,20.76,29.34,20.76
d012424-0min-PC-veri-R2,0min,0min,A2.fcs,A2,Experiment,None,,Voltage,BL1-H,,3,36,0.083,0.010,0.010,4939,N/A,4425,N/A,3454,N/A,1797.42,N/A,36.39,N/A,1439.60,N/A,32.53,N/A
d012424-0min-PC-veri-R2,0min,0min,B1.fcs,B1,Experiment,None,N/A,All Events,N/A,N/A,30000,38,789.474,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012424-0min-PC-veri-R2,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,SSC-H,28589,38,752.342,95.297,95.297,530158,120964,504446,113597,486478,117771,150258.50,44234.32,28.34,36.57,148088.02,34452.66,29.36,30.33
d012424-0min-PC-veri-R2,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15577,38,409.921,51.923,100.000,475568,488773,466255,475117,486478,453720,106002.88,124732.26,22.29,25.52,105183.06,127055.85,22.56,26.74
d012424-0min-PC-veri-R2,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-A,15577,38,409.921,51.923,51.923,475568,488773,466255,475117,486478,453720,106002.88,124732.26,22.29,25.52,105183.06,127055.85,22.56,26.74
d012424-0min-PC-veri-R2,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,BL1-H,,15577,38,409.921,51.923,51.923,3149,N/A,2942,N/A,2978,N/A,1353.64,N/A,42.99,N/A,1134.19,N/A,38.55,N/A
d012424-0min-PC-veri-R2,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-W,15577,38,409.921,51.923,54.486,475568,88,466255,87,486478,87,106002.88,7.66,22.29,8.67,105183.06,7.41,22.56,8.52
d012424-0min-PC-veri-R2,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,FSC-W,28589,38,752.342,95.297,95.297,530158,106,504446,97,486478,87,150258.50,31.22,28.34,29.43,148088.02,17.79,29.36,18.34
d012424-0min-PC-veri-R2,0min,0min,B1.fcs,B1,Experiment,None,,Voltage,BL1-H,,13888,38,365.474,46.293,46.293,4595,N/A,4313,N/A,3347,N/A,1093.05,N/A,23.79,N/A,1049.68,N/A,24.34,N/A
d012424-0min-PC-veri-R2,0min,0min,B2.fcs,B2,Experiment,None,N/A,All Events,N/A,N/A,30000,40,750.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012424-0min-PC-veri-R2,0min,0min,B2.fcs,B2,Experiment,None,,cell,FSC-H,SSC-H,28258,40,706.450,94.193,94.193,549894,123536,524650,117026,468128,121820,152643.72,43409.91,27.76,35.14,155223.77,34870.01,29.59,29.80
d012424-0min-PC-veri-R2,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13866,40,346.650,46.220,99.986,487433,504836,478363,489653,468079,412790,106910.14,127891.96,21.93,25.33,108128.24,132582.24,22.60,27.08
d012424-0min-PC-veri-R2,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-A,13868,40,346.700,46.227,46.227,487485,504896,478387,489662,468079,412790,106991.51,127981.03,21.95,25.35,108126.76,132592.62,22.60,27.08
d012424-0min-PC-veri-R2,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,BL1-H,,13866,40,346.650,46.220,46.220,124,N/A,116,N/A,97,N/A,54.95,N/A,44.41,N/A,45.96,N/A,39.62,N/A
d012424-0min-PC-veri-R2,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-W,13868,40,346.700,46.227,49.076,487485,89,478387,88,468079,86,106991.51,7.78,21.95,8.75,108126.76,7.41,22.60,8.42
d012424-0min-PC-veri-R2,0min,0min,B2.fcs,B2,Experiment,None,,cell,FSC-H,FSC-W,28258,40,706.450,94.193,94.193,549894,110,524650,100,468128,86,152643.72,33.04,27.76,30.06,155223.77,20.76,29.59,20.76
d012424-0min-PC-veri-R2,0min,0min,B2.fcs,B2,Experiment,None,,Voltage,BL1-H,,0,40,0.000,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012424-0min-PC-veri-R2,0min,0min,C1.fcs,C1,Experiment,None,N/A,All Events,N/A,N/A,30000,36,833.333,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012424-0min-PC-veri-R2,0min,0min,C1.fcs,C1,Experiment,None,,cell,FSC-H,SSC-H,28220,36,783.889,94.067,94.067,543768,121287,516923,113732,488409,119744,151668.79,44335.36,27.89,36.55,152183.70,34039.01,29.44,29.93
d012424-0min-PC-veri-R2,0min,0min,C1.fcs,C1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14172,36,393.667,47.240,99.908,485309,498838,476070,484293,486544,449677,108921.30,128609.48,22.44,25.78,108036.32,131594.09,22.69,27.17
d012424-0min-PC-veri-R2,0min,0min,C1.fcs,C1,Experiment,None,,single cell,FSC-H,FSC-A,14185,36,394.028,47.283,47.283,485589,499179,476244,484419,486544,449677,109298.38,129052.50,22.51,25.85,108163.08,131724.56,22.71,27.19
d012424-0min-PC-veri-R2,0min,0min,C1.fcs,C1,Experiment,None,,CTA1-GFP,BL1-H,,14172,36,393.667,47.240,47.240,2981,N/A,2735,N/A,2977,N/A,1399.69,N/A,46.95,N/A,1180.15,N/A,43.15,N/A
d012424-0min-PC-veri-R2,0min,0min,C1.fcs,C1,Experiment,None,,single cell,FSC-H,FSC-W,14185,36,394.028,47.283,50.266,485589,88,476244,87,486544,86,109298.38,7.90,22.51,8.95,108163.08,7.41,22.71,8.52
d012424-0min-PC-veri-R2,0min,0min,C1.fcs,C1,Experiment,None,,cell,FSC-H,FSC-W,28220,36,783.889,94.067,94.067,543768,110,516923,99,488409,86,151668.79,34.24,27.89,31.26,152183.70,20.76,29.44,20.97
d012424-0min-PC-veri-R2,0min,0min,C1.fcs,C1,Experiment,None,,Voltage,BL1-H,,12723,36,353.417,42.410,42.410,4647,N/A,4369,N/A,3349,N/A,1119.18,N/A,24.09,N/A,1107.50,N/A,25.35,N/A
d012424-0min-PC-veri-R2,0min,0min,C2.fcs,C2,Experiment,None,N/A,All Events,N/A,N/A,30000,36,833.333,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012424-0min-PC-veri-R2,0min,0min,C2.fcs,C2,Experiment,None,,cell,FSC-H,SSC-H,28266,36,785.167,94.220,94.220,547549,122004,523241,115550,469963,123919,151061.77,42498.23,27.59,34.83,151817.50,33855.91,29.01,29.30
d012424-0min-PC-veri-R2,0min,0min,C2.fcs,C2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13631,36,378.639,45.437,99.934,487733,503771,477886,488449,469912,414642,107764.68,128692.16,22.10,25.55,107392.13,132508.86,22.47,27.13
d012424-0min-PC-veri-R2,0min,0min,C2.fcs,C2,Experiment,None,,single cell,FSC-H,FSC-A,13640,36,378.889,45.467,45.467,487961,504028,477923,488557,469912,414642,108101.25,129040.86,22.15,25.60,107458.10,132555.56,22.48,27.13
d012424-0min-PC-veri-R2,0min,0min,C2.fcs,C2,Experiment,None,,CTA1-GFP,BL1-H,,13631,36,378.639,45.437,45.437,123,N/A,114,N/A,97,N/A,52.17,N/A,42.50,N/A,45.96,N/A,40.32,N/A
