Sample,HB_strain,group_name,treat,time_1_min,time_2_min,time_3_min
A1,yH343,wt,2mMH2O2,0,90,180
B1,yH344,wt,2mMH2O2,0,90,180
C1,yH298_c1,CTA1-GFP,2mMH2O2,0,90,180
D1,yH298_c2,CTA1-GFP,2mMH2O2,0,90,180
E1,yH298_c3,CTA1-GFP,2mMH2O2,0,90,180
F1,yH299_c1,CTA1-GFP,2mMH2O2,0,90,180
G1,yH299_c2,CTA1-GFP,2mMH2O2,0,90,180
H1,yH299_c3,CTA1-GFP,2mMH2O2,0,90,180
A2,yH887,ScCTA1pr::CgCTA1pr,2mMH2O2,0,90,180
B2,yH888,ScCTA1pr::CgCTA1pr,2mMH2O2,0,90,180
C2,yH889,ScCTA1pr::CgCTA1pr,2mMH2O2,0,90,180
D2,yH890,ScCTT1pr::CgCTA1pr,2mMH2O2,0,90,180
E2,yH891,ScCTT1pr::CgCTA1pr,2mMH2O2,0,90,180
F2,yH892,ScCTT1pr::CgCTA1pr,2mMH2O2,0,90,180
G2,,,,,,
H2,,,,,,
A3,yH343,wt,ctrl,0,90,180
B3,yH344,wt,ctrl,0,90,180
C3,yH298_c1,CTA1-GFP,ctrl,0,90,180
D3,yH298_c2,CTA1-GFP,ctrl,0,90,180
E3,yH298_c3,CTA1-GFP,ctrl,0,90,180
F3,yH299_c1,CTA1-GFP,ctrl,0,90,180
G3,yH299_c2,CTA1-GFP,ctrl,0,90,180
H3,yH299_c3,CTA1-GFP,ctrl,0,90,180
A4,yH887,ScCTA1pr::CgCTA1pr,ctrl,0,90,180
B4,yH888,ScCTA1pr::CgCTA1pr,ctrl,0,90,180
C4,yH889,ScCTA1pr::CgCTA1pr,ctrl,0,90,180
D4,yH890,ScCTT1pr::CgCTA1pr,ctrl,0,90,180
E4,yH891,ScCTT1pr::CgCTA1pr,ctrl,0,90,180
F4,yH892,ScCTT1pr::CgCTA1pr,ctrl,0,90,180
G4,,,,,,
H4,,,,,,
A5,yH343,wt,2mMH2O2,30,120,210
B5,yH344,wt,2mMH2O2,30,120,210
C5,yH298_c1,CTA1-GFP,2mMH2O2,30,120,210
D5,yH298_c2,CTA1-GFP,2mMH2O2,30,120,210
E5,yH298_c3,CTA1-GFP,2mMH2O2,30,120,210
F5,yH299_c1,CTA1-GFP,2mMH2O2,30,120,210
G5,yH299_c2,CTA1-GFP,2mMH2O2,30,120,210
H5,yH299_c3,CTA1-GFP,2mMH2O2,30,120,210
A6,yH887,ScCTA1pr::CgCTA1pr,2mMH2O2,30,120,210
B6,yH888,ScCTA1pr::CgCTA1pr,2mMH2O2,30,120,210
C6,yH889,ScCTA1pr::CgCTA1pr,2mMH2O2,30,120,210
D6,yH890,ScCTT1pr::CgCTA1pr,2mMH2O2,30,120,210
E6,yH891,ScCTT1pr::CgCTA1pr,2mMH2O2,30,120,210
F6,yH892,ScCTT1pr::CgCTA1pr,2mMH2O2,30,120,210
G6,,,,,,
H6,,,,,,
A7,yH343,wt,ctrl,30,120,210
B7,yH344,wt,ctrl,30,120,210
C7,yH298_c1,CTA1-GFP,ctrl,30,120,210
D7,yH298_c2,CTA1-GFP,ctrl,30,120,210
E7,yH298_c3,CTA1-GFP,ctrl,30,120,210
F7,yH299_c1,CTA1-GFP,ctrl,30,120,210
G7,yH299_c2,CTA1-GFP,ctrl,30,120,210
H7,yH299_c3,CTA1-GFP,ctrl,30,120,210
A8,yH887,ScCTA1pr::CgCTA1pr,ctrl,30,120,210
B8,yH888,ScCTA1pr::CgCTA1pr,ctrl,30,120,210
C8,yH889,ScCTA1pr::CgCTA1pr,ctrl,30,120,210
D8,yH890,ScCTT1pr::CgCTA1pr,ctrl,30,120,210
E8,yH891,ScCTT1pr::CgCTA1pr,ctrl,30,120,210
F8,yH892,ScCTT1pr::CgCTA1pr,ctrl,30,120,210
G8,,,,,,
H8,,,,,,
A9,yH343,wt,2mMH2O2,60,150,240
B9,yH344,wt,2mMH2O2,60,150,240
C9,yH298_c1,CTA1-GFP,2mMH2O2,60,150,240
D9,yH298_c2,CTA1-GFP,2mMH2O2,60,150,240
E9,yH298_c3,CTA1-GFP,2mMH2O2,60,150,240
F9,yH299_c1,CTA1-GFP,2mMH2O2,60,150,240
G9,yH299_c2,CTA1-GFP,2mMH2O2,60,150,240
H9,yH299_c3,CTA1-GFP,2mMH2O2,60,150,240
A10,yH887,ScCTA1pr::CgCTA1pr,2mMH2O2,60,150,240
B10,yH888,ScCTA1pr::CgCTA1pr,2mMH2O2,60,150,240
C10,yH889,ScCTA1pr::CgCTA1pr,2mMH2O2,60,150,240
D10,yH890,ScCTT1pr::CgCTA1pr,2mMH2O2,60,150,240
E10,yH891,ScCTT1pr::CgCTA1pr,2mMH2O2,60,150,240
F10,yH892,ScCTT1pr::CgCTA1pr,2mMH2O2,60,150,240
G10,,,,,,
H10,,,,,,
A11,yH343,wt,ctrl,60,150,240
B11,yH344,wt,ctrl,60,150,240
C11,yH298_c1,CTA1-GFP,ctrl,60,150,240
D11,yH298_c2,CTA1-GFP,ctrl,60,150,240
E11,yH298_c3,CTA1-GFP,ctrl,60,150,240
F11,yH299_c1,CTA1-GFP,ctrl,60,150,240
G11,yH299_c2,CTA1-GFP,ctrl,60,150,240
H11,yH299_c3,CTA1-GFP,ctrl,60,150,240
A12,yH887,ScCTA1pr::CgCTA1pr,ctrl,60,150,240
B12,yH888,ScCTA1pr::CgCTA1pr,ctrl,60,150,240
C12,yH889,ScCTA1pr::CgCTA1pr,ctrl,60,150,240
D12,yH890,ScCTT1pr::CgCTA1pr,ctrl,60,150,240
E12,yH891,ScCTT1pr::CgCTA1pr,ctrl,60,150,240
F12,yH892,ScCTT1pr::CgCTA1pr,ctrl,60,150,240
G12,,,,,,
H12,,,,,,
