Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d021324-0min-TrunV-R1,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,10000,9,1111.111,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d021324-0min-TrunV-R1,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,9595,9,1066.111,95.950,95.950,375038,127031,350774,118138,320511,115626,133358.69,49743.25,35.56,39.16,117450.09,40943.48,33.48,34.66
d021324-0min-TrunV-R1,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,2493,9,277.000,24.930,99.920,365534,392656,352844,371828,320497,328755,77871.82,100034.45,21.30,25.48,72300.47,92973.84,20.49,25.00
d021324-0min-TrunV-R1,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,2495,9,277.222,24.950,24.950,365778,393026,352845,372394,320497,328755,78380.44,100875.40,21.43,25.67,72312.33,93599.50,20.49,25.13
d021324-0min-TrunV-R1,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,2493,9,277.000,24.930,24.930,3212,N/A,2958,N/A,4148,N/A,1518.35,N/A,47.27,N/A,1237.97,N/A,41.85,N/A
d021324-0min-TrunV-R1,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,2495,9,277.222,24.950,26.003,365778,86,352845,86,320497,87,78380.44,5.68,21.43,6.59,72312.33,5.93,20.49,6.90
d021324-0min-TrunV-R1,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,9595,9,1066.111,95.950,95.950,375038,106,350774,97,320511,97,133358.69,33.30,35.56,31.50,117450.09,16.31,33.48,16.81
d021324-0min-TrunV-R1,0min,0min,A1.fcs,A1,Experiment,None,,Voltage,BL1-H,,4408,9,489.778,44.080,44.080,4561,N/A,4264,N/A,3396,N/A,1084.11,N/A,23.77,N/A,1005.20,N/A,23.57,N/A
d021324-0min-TrunV-R1,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,32,937.500,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d021324-0min-TrunV-R1,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,27755,32,867.344,92.517,92.517,564231,123582,544080,117598,476162,121844,154651.77,42444.66,27.41,34.35,162138.62,33786.97,29.80,28.73
d021324-0min-TrunV-R1,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,12440,32,388.750,41.467,99.904,504473,520882,494176,504807,472201,453652,113281.57,135860.03,22.46,26.08,115771.78,142717.30,23.43,28.27
d021324-0min-TrunV-R1,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,12452,32,389.125,41.507,41.507,504782,521233,494342,504965,472201,453652,113670.50,136269.60,22.52,26.14,116006.78,143001.96,23.47,28.32
d021324-0min-TrunV-R1,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,12440,32,388.750,41.467,41.467,1290,N/A,1105,N/A,828,N/A,800.91,N/A,62.10,N/A,647.90,N/A,58.63,N/A
d021324-0min-TrunV-R1,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,12452,32,389.125,41.507,44.864,504782,88,494342,87,472201,86,113670.50,8.22,22.52,9.30,116006.78,8.90,23.47,10.22
d021324-0min-TrunV-R1,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,27755,32,867.344,92.517,92.517,564231,115,544080,103,476162,86,154651.77,39.22,27.41,34.11,162138.62,26.69,29.80,25.91
