Sample,HB_strain,group_name,treat,time_1_min,time_2_min,time_3_min
A1,yH298,wt,0Pi,0,90,180
B1,yH299,wt,0Pi,0,90,180
C1,yH324,2V,0Pi,0,90,180
D1,yH325,2V,0Pi,0,90,180
E1,yH328,4V,0Pi,0,90,180
F1,yH350,4V,0Pi,0,90,180
G1,yH329,6V,0Pi,0,90,180
H1,yH330,6V,0Pi,0,90,180
A2,yH332,8V,0Pi,0,90,180
B2,yH333,8V,0Pi,0,90,180
C2,yH343,PC,0Pi,0,90,180
D2,yH344,PC,0Pi,0,90,180
E2,,,,,,
F2,,,,,,
G2,,,,,,
H2,,,,,,
A3,yH298,wt,Ctrl,0,90,180
B3,yH299,wt,Ctrl,0,90,180
C3,yH324,2V,Ctrl,0,90,180
D3,yH325,2V,Ctrl,0,90,180
E3,yH328,4V,Ctrl,0,90,180
F3,yH350,4V,Ctrl,0,90,180
G3,yH329,6V,Ctrl,0,90,180
H3,yH330,6V,Ctrl,0,90,180
A4,yH332,8V,Ctrl,0,90,180
B4,yH333,8V,Ctrl,0,90,180
C4,yH343,PC,Ctrl,0,90,180
D4,yH344,PC,Ctrl,0,90,180
E4,,,,,,
F4,,,,,,
G4,,,,,,
H4,,,,,,
A5,yH298,wt,0Pi,30,120,210
B5,yH299,wt,0Pi,30,120,210
C5,yH324,2V,0Pi,30,120,210
D5,yH325,2V,0Pi,30,120,210
E5,yH328,4V,0Pi,30,120,210
F5,yH350,4V,0Pi,30,120,210
G5,yH329,6V,0Pi,30,120,210
H5,yH330,6V,0Pi,30,120,210
A6,yH332,8V,0Pi,30,120,210
B6,yH333,8V,0Pi,30,120,210
C6,yH343,PC,0Pi,30,120,210
D6,yH344,PC,0Pi,30,120,210
E6,,,,,,
F6,,,,,,
G6,,,,,,
H6,,,,,,
A7,yH298,wt,Ctrl,30,120,210
B7,yH299,wt,Ctrl,30,120,210
C7,yH324,2V,Ctrl,30,120,210
D7,yH325,2V,Ctrl,30,120,210
E7,yH328,4V,Ctrl,30,120,210
F7,yH350,4V,Ctrl,30,120,210
G7,yH329,6V,Ctrl,30,120,210
H7,yH330,6V,Ctrl,30,120,210
A8,yH332,8V,Ctrl,30,120,210
B8,yH333,8V,Ctrl,30,120,210
C8,yH343,PC,Ctrl,30,120,210
D8,yH344,PC,Ctrl,30,120,210
E8,,,,,,
F8,,,,,,
G8,,,,,,
H8,,,,,,
A9,yH298,wt,0Pi,60,150,240
B9,yH299,wt,0Pi,60,150,240
C9,yH324,2V,0Pi,60,150,240
D9,yH325,2V,0Pi,60,150,240
E9,yH328,4V,0Pi,60,150,240
F9,yH350,4V,0Pi,60,150,240
G9,yH329,6V,0Pi,60,150,240
H9,yH330,6V,0Pi,60,150,240
A10,yH332,8V,0Pi,60,150,240
B10,yH333,8V,0Pi,60,150,240
C10,yH343,PC,0Pi,60,150,240
D10,yH344,PC,0Pi,60,150,240
E10,,,,,,
F10,,,,,,
G10,,,,,,
H10,,,,,,
A11,yH298,wt,Ctrl,60,150,240
B11,yH299,wt,Ctrl,60,150,240
C11,yH324,2V,Ctrl,60,150,240
D11,yH325,2V,Ctrl,60,150,240
E11,yH328,4V,Ctrl,60,150,240
F11,yH350,4V,Ctrl,60,150,240
G11,yH329,6V,Ctrl,60,150,240
H11,yH330,6V,Ctrl,60,150,240
A12,yH332,8V,Ctrl,60,150,240
B12,yH333,8V,Ctrl,60,150,240
C12,yH343,PC,Ctrl,60,150,240
D12,yH344,PC,Ctrl,60,150,240
E12,,,,,,
F12,,,,,,
G12,,,,,,
H12,,,,,,
