"Time","genotype","Genotype","rel_base","Treatment"
"0min","RS1_210","IS_2.10",0.265629107734371,"2mMH2O2"
"0min","RS1_210","IS_2.10",0.257426783742573,"2mMH2O2"
"0min","RS1_210","IS_2.10",0.253641095746359,"2mMH2O2"
"0min","RS1_210","IS_2.10",0.247647089752353,"2mMH2O2"
"0min","RS1_210","IS_2.10",0.254272043745728,"2mMH2O2"
"0min","RS1_210","IS_2.10",0.243861401756139,"2mMH2O2"
"0min","RS1_210","IS_2.10",0.219254429780746,"2mMH2O2"
"0min","RS1_210","IS_2.10",0.209474735790525,"2mMH2O2"
"0min","RS1_210","IS_2.10",0.215468741784531,"2mMH2O2"
"0min","RS1_24","IS_2.4",0.737262737262737,"2mMH2O2"
"0min","RS1_24","IS_2.4",0.707608181292392,"2mMH2O2"
"0min","RS1_24","IS_2.4",0.733161575266838,"2mMH2O2"
"0min","RS1_24","IS_2.4",0.689626163310374,"2mMH2O2"
"0min","RS1_24","IS_2.4",0.693727325306273,"2mMH2O2"
"0min","RS1_24","IS_2.4",0.751774541248225,"2mMH2O2"
"0min","RS1_24","IS_2.4",0.607287449392713,"2mMH2O2"
"0min","RS1_24","IS_2.4",0.622745675377254,"2mMH2O2"
"0min","RS1_24","IS_2.4",0.604763657395236,"2mMH2O2"
"0min","RS1_26","IS_2.6",0.461538461538462,"2mMH2O2"
"0min","RS1_26","IS_2.6",0.547978337452022,"2mMH2O2"
"0min","RS1_26","IS_2.6",0.437877911562122,"2mMH2O2"
"0min","RS1_26","IS_2.6",0.551448551448551,"2mMH2O2"
"0min","RS1_26","IS_2.6",0.530311793469688,"2mMH2O2"
"0min","RS1_26","IS_2.6",0.513591671486408,"2mMH2O2"
"0min","RS1_26","IS_2.6",0.416741153583259,"2mMH2O2"
"0min","RS1_26","IS_2.6",0.396550817603449,"2mMH2O2"
"0min","RS1_26","IS_2.6",0.375098585624901,"2mMH2O2"
"0min","RS1_28","IS_2.8",0.484568063515432,"2mMH2O2"
"0min","RS1_28","IS_2.8",0.504127451495873,"2mMH2O2"
"0min","RS1_28","IS_2.8",0.52274041747726,"2mMH2O2"
"0min","RS1_28","IS_2.8",0.497817971502182,"2mMH2O2"
"0min","RS1_28","IS_2.8",0.501288185498712,"2mMH2O2"
"0min","RS1_28","IS_2.8",0.498764393501236,"2mMH2O2"
"0min","RS1_28","IS_2.8",0.408538829591461,"2mMH2O2"
"0min","RS1_28","IS_2.8",0.419895893580104,"2mMH2O2"
"0min","RS1_28","IS_2.8",0.458699195541301,"2mMH2O2"
"0min","wt","WT",1.02529049897471,"2mMH2O2"
"0min","wt","WT",1.0987959409012,"2mMH2O2"
"0min","wt","WT",1.03759398496241,"2mMH2O2"
"0min","wt","WT",1.10573636889426,"2mMH2O2"
"0min","wt","WT",0.863767811136232,"2mMH2O2"
"0min","wt","WT",0.868815395131185,"2mMH2O2"
"0min","RS1_210","IS_2.10",0.271121945418872,"0Pi"
"0min","RS1_210","IS_2.10",0.257209108746061,"0Pi"
"0min","RS1_210","IS_2.10",0.252928235923658,"0Pi"
"0min","RS1_210","IS_2.10",0.25970628455913,"0Pi"
"0min","RS1_210","IS_2.10",0.268268030203936,"0Pi"
"0min","RS1_210","IS_2.10",0.25150127831619,"0Pi"
"0min","RS1_210","IS_2.10",0.25150127831619,"0Pi"
"0min","RS1_210","IS_2.10",0.24222605386765,"0Pi"
"0min","RS1_210","IS_2.10",0.248290623699388,"0Pi"
"0min","RS1_24","IS_2.4",0.682799215173316,"0Pi"
"0min","RS1_24","IS_2.4",0.689220524406921,"0Pi"
"0min","RS1_24","IS_2.4",0.710981627920804,"0Pi"
"0min","RS1_24","IS_2.4",0.76270884119151,"0Pi"
"0min","RS1_24","IS_2.4",0.711338367322671,"0Pi"
"0min","RS1_24","IS_2.4",0.74059099827576,"0Pi"
"0min","RS1_24","IS_2.4",0.720970331173078,"0Pi"
"0min","RS1_24","IS_2.4",0.643557880967953,"0Pi"
"0min","RS1_24","IS_2.4",0.741304477079493,"0Pi"
"0min","RS1_26","IS_2.6",0.486592544146501,"0Pi"
"0min","RS1_26","IS_2.6",0.511564302277187,"0Pi"
"0min","RS1_26","IS_2.6",0.446994470539271,"0Pi"
"0min","RS1_26","IS_2.6",0.546524763660146,"0Pi"
"0min","RS1_26","IS_2.6",0.495154289791307,"0Pi"
"0min","RS1_26","IS_2.6",0.471966228669957,"0Pi"
"0min","RS1_26","IS_2.6",0.453772519174743,"0Pi"
"0min","RS1_26","IS_2.6",0.506213211249183,"0Pi"
"0min","RS1_26","IS_2.6",0.509780605267852,"0Pi"
"0min","RS1_28","IS_2.8",0.491943635174505,"0Pi"
"0min","RS1_28","IS_2.8",0.534752363398537,"0Pi"
"0min","RS1_28","IS_2.8",0.514418217492122,"0Pi"
"0min","RS1_28","IS_2.8",0.531898448183602,"0Pi"
"0min","RS1_28","IS_2.8",0.527617575361199,"0Pi"
"0min","RS1_28","IS_2.8",0.519412569118259,"0Pi"
"0min","RS1_28","IS_2.8",0.478387537903561,"0Pi"
"0min","RS1_28","IS_2.8",0.475890362090493,"0Pi"
"0min","RS1_28","IS_2.8",0.47624710149236,"0Pi"
"0min","wt","WT",1.04488970806826,"0Pi"
"0min","wt","WT",1.05166775670373,"0Pi"
"0min","wt","WT",1.00457815565729,"0Pi"
"0min","wt","WT",1.07342886021761,"0Pi"
"0min","wt","WT",0.885783934835603,"0Pi"
"0min","wt","WT",0.93965158451751,"0Pi"
