Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d022124-0min-RS2-R3,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,10000,13,769.231,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d022124-0min-RS2-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,9528,13,732.923,95.280,95.280,536636,115100,511169,108670,476092,115770,145742.29,41827.97,27.16,36.34,142915.22,32398.52,27.96,29.81
d022124-0min-RS2-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,5164,13,397.231,51.640,100.000,488014,500295,478732,486609,480265,445250,108809.55,124708.49,22.30,24.93,110581.94,128739.34,23.10,26.46
d022124-0min-RS2-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,5164,13,397.231,51.640,51.640,488014,500295,478732,486609,480265,445250,108809.55,124708.49,22.30,24.93,110581.94,128739.34,23.10,26.46
d022124-0min-RS2-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,5164,13,397.231,51.640,51.640,2772,N/A,2543,N/A,3515,N/A,1315.92,N/A,47.48,N/A,1137.90,N/A,44.75,N/A
d022124-0min-RS2-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,5164,13,397.231,51.640,54.198,488014,89,478732,87,480265,87,108809.55,7.73,22.30,8.72,110581.94,7.41,23.10,8.52
d022124-0min-RS2-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,9528,13,732.923,95.280,95.280,536636,106,511169,98,476092,87,145742.29,30.50,27.16,28.70,142915.22,19.27,27.96,19.67
d022124-0min-RS2-R3,0min,0min,A1.fcs,A1,Experiment,None,,Voltage,BL1-H,,3720,13,286.154,37.200,37.200,4558,N/A,4245,N/A,3394,N/A,1090.02,N/A,23.91,N/A,1008.91,N/A,23.77,N/A
d022124-0min-RS2-R3,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,42,714.286,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d022124-0min-RS2-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28069,42,668.310,93.563,93.563,555872,123465,529605,117216,484474,123914,153749.03,42688.30,27.66,34.58,156516.60,33966.37,29.55,28.98
d022124-0min-RS2-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13495,42,321.310,44.983,99.963,484154,502232,478911,492520,469993,504941,103191.85,123643.71,21.31,24.62,102696.73,127371.65,21.44,25.86
d022124-0min-RS2-R3,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,13500,42,321.429,45.000,45.000,484289,502380,478932,492573,469993,504941,103411.07,123860.52,21.35,24.65,102757.52,127400.56,21.46,25.86
d022124-0min-RS2-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,13495,42,321.310,44.983,44.983,2265,N/A,2211,N/A,2331,N/A,741.27,N/A,32.73,N/A,641.97,N/A,29.04,N/A
d022124-0min-RS2-R3,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,13500,42,321.429,45.000,48.096,484289,89,478932,88,469993,87,103411.07,7.69,21.35,8.65,102757.52,7.41,21.46,8.42
d022124-0min-RS2-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,28069,42,668.310,93.563,93.563,555872,111,529605,101,484474,87,153749.03,33.47,27.66,30.19,156516.60,22.24,29.55,22.02
d022124-0min-RS2-R3,0min,0min,A2.fcs,A2,Experiment,None,,Voltage,BL1-H,,7845,42,186.786,26.150,26.150,4515,N/A,4198,N/A,3302,N/A,1091.76,N/A,24.18,N/A,1005.20,N/A,23.94,N/A
d022124-0min-RS2-R3,0min,0min,B1.fcs,B1,Experiment,None,N/A,All Events,N/A,N/A,30000,38,789.474,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d022124-0min-RS2-R3,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,SSC-H,28517,38,750.447,95.057,95.057,532540,120323,505643,113422,461844,117756,151210.66,43243.01,28.39,35.94,145279.97,33770.66,28.73,29.77
d022124-0min-RS2-R3,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14277,38,375.711,47.590,99.937,471202,487100,463302,474233,435215,386096,103706.48,123066.81,22.01,25.27,101440.97,124784.51,21.90,26.31
d022124-0min-RS2-R3,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-A,14286,38,375.947,47.620,47.620,471385,487346,463354,474394,435215,386096,103979.66,123440.41,22.06,25.33,101540.31,124891.26,21.91,26.33
d022124-0min-RS2-R3,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,BL1-H,,14277,38,375.711,47.590,47.590,2915,N/A,2698,N/A,3367,N/A,1294.09,N/A,44.39,N/A,1088.23,N/A,40.33,N/A
d022124-0min-RS2-R3,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-W,14286,38,375.947,47.620,50.096,471385,88,463354,87,435215,86,103979.66,7.56,22.06,8.59,101540.31,7.41,21.91,8.52
d022124-0min-RS2-R3,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,FSC-W,28517,38,750.447,95.057,95.057,532540,109,505643,99,461844,86,151210.66,33.97,28.39,31.17,145279.97,20.76,28.73,20.97
d022124-0min-RS2-R3,0min,0min,B1.fcs,B1,Experiment,None,,Voltage,BL1-H,,12680,38,333.684,42.267,42.267,4585,N/A,4282,N/A,3348,N/A,1104.39,N/A,24.09,N/A,1049.68,N/A,24.51,N/A
d022124-0min-RS2-R3,0min,0min,B2.fcs,B2,Experiment,None,N/A,All Events,N/A,N/A,30000,38,789.474,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d022124-0min-RS2-R3,0min,0min,B2.fcs,B2,Experiment,None,,cell,FSC-H,SSC-H,27947,38,735.447,93.157,93.157,550424,123572,523666,116702,472090,123873,153938.58,44086.64,27.97,35.68,155400.20,34879.65,29.68,29.89
d022124-0min-RS2-R3,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13493,38,355.079,44.977,99.948,483013,499297,474591,485163,472090,455669,106289.00,126873.03,22.01,25.41,104880.60,129549.59,22.10,26.70
d022124-0min-RS2-R3,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-A,13500,38,355.263,45.000,45.000,483202,499506,474672,485289,472090,455669,106587.99,127173.31,22.06,25.46,104933.98,129585.91,22.11,26.70
d022124-0min-RS2-R3,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,BL1-H,,13493,38,355.079,44.977,44.977,2234,N/A,2172,N/A,2251,N/A,749.12,N/A,33.54,N/A,656.79,N/A,30.24,N/A
d022124-0min-RS2-R3,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-W,13500,38,355.263,45.000,48.306,483202,88,474672,87,472090,87,106587.99,7.84,22.06,8.88,104933.98,7.41,22.11,8.52
d022124-0min-RS2-R3,0min,0min,B2.fcs,B2,Experiment,None,,cell,FSC-H,FSC-W,27947,38,735.447,93.157,93.157,550424,111,523666,100,472090,87,153938.58,34.83,27.97,31.40,155400.20,22.24,29.68,22.24
d022124-0min-RS2-R3,0min,0min,B2.fcs,B2,Experiment,None,,Voltage,BL1-H,,7669,38,201.816,25.563,25.563,4537,N/A,4237,N/A,3258,N/A,1097.85,N/A,24.20,N/A,1039.30,N/A,24.53,N/A
d022124-0min-RS2-R3,0min,0min,C1.fcs,C1,Experiment,None,N/A,All Events,N/A,N/A,30000,39,769.231,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d022124-0min-RS2-R3,0min,0min,C1.fcs,C1,Experiment,None,,cell,FSC-H,SSC-H,28806,39,738.615,96.020,96.020,520885,120974,492046,113958,435263,119782,149690.48,43245.11,28.74,35.75,144863.36,34503.81,29.44,30.28
d022124-0min-RS2-R3,0min,0min,C1.fcs,C1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15018,39,385.077,50.060,100.000,460333,476212,450346,461707,435260,414761,102217.21,121189.77,22.21,25.45,100005.82,122723.70,22.21,26.58
