Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d011924-0min-Rev2468-R3,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,10000,9,1111.111,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d011924-0min-Rev2468-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,9590,9,1065.556,95.900,95.900,519195,110294,496562,103436,453682,95115,150826.56,42342.75,29.05,38.39,142527.52,31124.22,28.70,30.09
d011924-0min-Rev2468-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,4868,9,540.889,48.680,99.897,479499,487469,467999,471353,424908,451540,114159.33,129609.85,23.81,26.59,113716.16,130958.06,24.30,27.78
d011924-0min-Rev2468-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,4873,9,541.444,48.730,48.730,479766,487850,468024,471515,424908,451540,114498.00,130137.25,23.87,26.68,113748.04,131291.64,24.30,27.84
d011924-0min-Rev2468-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,4868,9,540.889,48.680,48.680,2975,N/A,2748,N/A,3618,N/A,1480.42,N/A,49.77,N/A,1252.06,N/A,45.57,N/A
d011924-0min-Rev2468-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,4873,9,541.444,48.730,50.813,479766,88,468024,87,424908,86,114498.00,7.74,23.87,8.80,113748.04,7.41,24.30,8.52
d011924-0min-Rev2468-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,9590,9,1065.556,95.900,95.900,519195,108,496562,98,453682,86,150826.56,34.78,29.05,32.27,142527.52,19.27,28.70,19.67
d011924-0min-Rev2468-R3,0min,0min,A1.fcs,A1,Experiment,None,,Voltage,BL1-H,,4063,9,451.444,40.630,40.630,4605,N/A,4300,N/A,3349,N/A,1101.68,N/A,23.92,N/A,1043.75,N/A,24.27,N/A
d011924-0min-Rev2468-R3,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,28,1071.429,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d011924-0min-Rev2468-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28124,28,1004.429,93.747,93.747,545369,122384,519328,113979,488430,115619,154745.75,45240.20,28.37,36.97,156581.83,34414.11,30.15,30.19
