Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d020224-0min-Swap46-R2,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,10000,10,1000.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d020224-0min-Swap46-R2,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,9678,10,967.800,96.780,96.780,521344,110078,498988,103179,492527,93147,146736.97,40718.01,28.15,36.99,141873.70,30740.97,28.43,29.79
d020224-0min-Swap46-R2,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,5319,10,531.900,53.190,100.000,479316,488685,468762,472843,492500,437185,111744.95,126948.89,23.31,25.98,113865.16,129883.17,24.29,27.47
d020224-0min-Swap46-R2,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,5319,10,531.900,53.190,53.190,479316,488685,468762,472843,492500,437185,111744.95,126948.89,23.31,25.98,113865.16,129883.17,24.29,27.47
d020224-0min-Swap46-R2,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,5319,10,531.900,53.190,53.190,2902,N/A,2685,N/A,3023,N/A,1317.56,N/A,45.41,N/A,1132.71,N/A,42.19,N/A
d020224-0min-Swap46-R2,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,5319,10,531.900,53.190,54.960,479316,88,468762,87,492500,86,111744.95,7.61,23.31,8.65,113865.16,7.41,24.29,8.52
d020224-0min-Swap46-R2,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,9678,10,967.800,96.780,96.780,521344,106,498988,96,492527,86,146736.97,32.56,28.15,30.76,141873.70,17.79,28.43,18.53
d020224-0min-Swap46-R2,0min,0min,A1.fcs,A1,Experiment,None,,Voltage,BL1-H,,3976,10,397.600,39.760,39.760,4545,N/A,4286,N/A,3254,N/A,1058.47,N/A,23.29,N/A,1017.80,N/A,23.75,N/A
d020224-0min-Swap46-R2,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,32,937.500,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d020224-0min-Swap46-R2,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28463,32,889.469,94.877,94.877,544185,117715,520621,111772,476220,117772,149523.92,40914.28,27.48,34.76,148160.66,31918.89,28.46,28.56
d020224-0min-Swap46-R2,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14187,32,443.344,47.290,99.901,486179,498535,476790,482507,464012,451784,106624.86,126918.20,21.93,25.46,106670.10,130204.89,22.37,26.99
d020224-0min-Swap46-R2,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,14201,32,443.781,47.337,47.337,486512,498901,476927,482661,464012,451784,107104.12,127393.91,22.01,25.53,106757.58,130353.15,22.38,27.01
