Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
NA,TrunV-0Pi-TS-R2,0min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,N/A,All Events,N/A,N/A,30000,24,1250.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,TrunV-0Pi-TS-R2,0min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,cell,FSC-H,SSC-H,28064,24,1169.333,93.547,93.547,505836,127983,478408,117172,414917,113671,161980.38,50856.87,32.02,39.74,163007.42,38596.53,34.07,32.94
NA,TrunV-0Pi-TS-R2,0min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13616,24,567.333,45.387,99.978,447344,460416,438805,446513,408444,367569,117235.52,136799.47,26.21,29.71,123635.49,147545.38,28.18,33.04
NA,TrunV-0Pi-TS-R2,0min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,single cell,FSC-H,FSC-A,13619,24,567.458,45.397,45.397,447365,460480,438845,446523,408444,367569,117232.11,136854.13,26.21,29.72,123610.29,147604.69,28.17,33.06
NA,TrunV-0Pi-TS-R2,0min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,CTA1-GFP,BL1-H,,13616,24,567.333,45.387,45.387,6264,N/A,5533,N/A,5658,N/A,3479.97,N/A,55.56,N/A,2602.70,N/A,47.04,N/A
NA,TrunV-0Pi-TS-R2,0min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,single cell,FSC-H,FSC-W,13619,24,567.458,45.397,48.528,447365,84,438845,83,408444,86,117232.11,6.96,26.21,8.29,123610.29,7.41,28.17,8.93
NA,TrunV-0Pi-TS-R2,0min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,cell,FSC-H,FSC-W,28064,24,1169.333,93.547,93.547,505836,111,478408,95,414917,86,161980.38,56.61,32.02,50.92,163007.42,19.27,34.07,20.29
NA,TrunV-0Pi-TS-R2,0min-0Pi,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,N/A,All Events,N/A,N/A,30000,25,1200.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,TrunV-0Pi-TS-R2,0min-0Pi,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,cell,FSC-H,SSC-H,28315,25,1132.600,94.383,94.383,512729,129923,484559,119714,426966,111638,159138.21,49851.48,31.04,38.37,159201.59,38298.52,32.85,31.99
NA,TrunV-0Pi-TS-R2,0min-0Pi,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13856,25,554.240,46.187,99.993,453499,467852,445050,453291,451489,427081,112797.50,132645.23,24.87,28.35,117550.90,140818.09,26.41,31.07
NA,TrunV-0Pi-TS-R2,0min-0Pi,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,single cell,FSC-H,FSC-A,13857,25,554.280,46.190,46.190,453504,467874,445050,453291,451489,427081,112795.22,132665.67,24.87,28.36,117550.90,140835.14,26.41,31.07
NA,TrunV-0Pi-TS-R2,0min-0Pi,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,CTA1-GFP,BL1-H,,13856,25,554.240,46.187,46.187,6890,N/A,6329,N/A,7025,N/A,3068.62,N/A,44.54,N/A,2530.80,N/A,39.99,N/A
NA,TrunV-0Pi-TS-R2,0min-0Pi,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,single cell,FSC-H,FSC-W,13857,25,554.280,46.190,48.939,453504,84,445050,84,451489,86,112795.22,6.86,24.87,8.13,117550.90,7.41,26.41,8.82
NA,TrunV-0Pi-TS-R2,0min-0Pi,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,cell,FSC-H,FSC-W,28315,25,1132.600,94.383,94.383,512729,111,484559,95,426966,86,159138.21,55.59,31.04,49.93,159201.59,19.27,32.85,20.29
NA,TrunV-0Pi-TS-R2,0min-0Pi,yH324-2V.fcs,yH324-2V,Experiment,None,N/A,All Events,N/A,N/A,30000,29,1034.483,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,TrunV-0Pi-TS-R2,0min-0Pi,yH324-2V.fcs,yH324-2V,Experiment,None,,cell,FSC-H,SSC-H,28385,29,978.793,94.617,94.617,504357,129693,475174,119094,451564,117758,156962.31,50040.86,31.12,38.58,154864.98,37534.98,32.59,31.52
NA,TrunV-0Pi-TS-R2,0min-0Pi,yH324-2V.fcs,yH324-2V,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14255,29,491.552,47.517,99.993,448673,464562,438195,448687,422845,375916,113088.85,133317.96,25.21,28.70,118357.44,142892.99,27.01,31.85
NA,TrunV-0Pi-TS-R2,0min-0Pi,yH324-2V.fcs,yH324-2V,Experiment,None,,single cell,FSC-H,FSC-A,14256,29,491.586,47.520,47.520,448684,464587,438196,448693,422845,375916,113092.99,133346.40,25.21,28.70,118362.63,142918.19,27.01,31.85
