Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
NA,TrunV-H2O2-TS-R3,0min-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,N/A,All Events,N/A,N/A,30000,24,1250.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,TrunV-H2O2-TS-R3,0min-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,cell,FSC-H,SSC-H,28113,24,1171.375,93.710,93.710,510620,131943,486325,120835,459755,119780,159158.22,52318.87,31.17,39.65,164647.17,39969.41,33.86,33.08
NA,TrunV-H2O2-TS-R3,0min-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,12608,24,525.333,42.027,99.960,451123,464556,441800,449688,408755,398395,116096.76,134805.31,25.74,29.02,123322.67,145569.08,27.91,32.37
NA,TrunV-H2O2-TS-R3,0min-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,single cell,FSC-H,FSC-A,12613,24,525.542,42.043,42.043,451152,464664,441849,449771,408755,398395,116087.45,134895.83,25.73,29.03,123312.29,145551.29,27.91,32.36
NA,TrunV-H2O2-TS-R3,0min-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,CTA1-GFP,BL1-H,,12608,24,525.333,42.027,42.027,7346,N/A,6737,N/A,8391,N/A,3411.98,N/A,46.45,N/A,2822.13,N/A,41.89,N/A
NA,TrunV-H2O2-TS-R3,0min-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,single cell,FSC-H,FSC-W,12613,24,525.542,42.043,44.865,451152,84,441849,83,408755,87,116087.45,6.90,25.73,8.19,123312.29,7.41,27.91,8.93
NA,TrunV-H2O2-TS-R3,0min-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,cell,FSC-H,FSC-W,28113,24,1171.375,93.710,93.710,510620,116,486325,96,459755,87,159158.22,62.51,31.17,54.06,164647.17,19.27,33.86,20.08
NA,TrunV-H2O2-TS-R3,0min-H2O2,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,N/A,All Events,N/A,N/A,30000,34,882.353,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,TrunV-H2O2-TS-R3,0min-H2O2,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,cell,FSC-H,SSC-H,26852,34,789.765,89.507,89.507,531497,137909,508225,124130,437210,119704,164079.29,55977.71,30.87,40.59,174714.03,43102.15,34.38,34.72
NA,TrunV-H2O2-TS-R3,0min-H2O2,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,9940,34,292.353,33.133,99.920,461802,475274,453018,461267,433283,443423,115681.53,134621.06,25.05,28.32,121682.91,143753.63,26.86,31.16
