main_effect,Estimate,SE,t_value,p_value,Treatment,feature
beta_1,-0.064,0.03591,-1.78219,0.08132,0Pi,basal
beta_2,-0.35073,0.04147,-8.45827,0,0Pi,basal
beta_3,0.03824,0.03591,1.06482,0.29251,0Pi,basal
beta_4,0.62672,0.03591,17.4525,0,0Pi,basal
beta_1,-0.00408,0.0268,-0.15213,0.87961,2mMH2O2,basal
beta_2,-0.31228,0.0307,-10.17113,0,2mMH2O2,basal
beta_3,0.08644,0.0268,3.22533,0.00205,2mMH2O2,basal
beta_4,0.60561,0.0268,22.59789,0,2mMH2O2,basal
beta_1,0.44388,0.05281,8.40492,0,0Pi,plateau
beta_2,-0.2477,0.06098,-4.06181,0.00019,0Pi,plateau
beta_3,0.51193,0.05281,9.69353,0,0Pi,plateau
beta_4,0.05238,0.05281,0.99179,0.32649,0Pi,plateau
beta_1,0.36198,0.03744,9.6695,0,2mMH2O2,plateau
beta_2,-0.04281,0.04289,-0.99808,0.32231,2mMH2O2,plateau
beta_3,0.06572,0.03744,1.75543,0.08438,2mMH2O2,plateau
beta_4,0.24606,0.03744,6.57294,0,2mMH2O2,plateau
beta_1,0.51113,0.03774,13.54426,0,0Pi,max_slope
beta_2,-0.04477,0.04358,-1.0273,0.30965,0Pi,max_slope
beta_3,0.5383,0.03774,14.26426,0,0Pi,max_slope
beta_4,0.13811,0.03774,3.65964,0.00065,0Pi,max_slope
beta_1,0.41588,0.05064,8.2128,0,2mMH2O2,max_slope
beta_2,-0.05564,0.0609,-0.91364,0.36469,2mMH2O2,max_slope
beta_3,-0.01041,0.05064,-0.20567,0.83777,2mMH2O2,max_slope
beta_4,0.29624,0.05064,5.85015,0,2mMH2O2,max_slope
