main_effect,Estimate,SE,t_value,p_value,Treatment,feature
beta_12,-0.1539,0.0547,-2.81366,0.00621,0Pi,basal
beta_23,-0.18603,0.05808,-3.20274,0.00198,0Pi,basal
beta_34,0,0,0,0,0Pi,basal
beta_12,-0.0875,0.0425,-2.05911,0.04241,2mMH2O2,basal
beta_23,-0.19016,0.0446,-4.26383,0.00005,2mMH2O2,basal
beta_34,-0.07485,0.03582,-2.08977,0.03949,2mMH2O2,basal
beta_12,-0.12136,0.03531,-3.437,0.00074,both,basal
beta_23,-0.18041,0.03723,-4.84532,0,both,basal
beta_34,-0.06668,0.03015,-2.21176,0.02829,both,basal
beta_12,0.12496,0.07282,1.71589,0.09026,0Pi,plateau
beta_23,-0.14704,0.07613,-1.93152,0.05715,0Pi,plateau
beta_34,0,0,0,0,0Pi,plateau
beta_12,-0.1992,0.06782,-2.93737,0.00419,2mMH2O2,plateau
beta_23,0,0,0,0,2mMH2O2,plateau
beta_34,0,0,0,0,2mMH2O2,plateau
beta_12,0.23484,0.05467,4.29581,0.00005,0Pi,max_slope
beta_23,0,0,0,0,0Pi,max_slope
beta_34,0.11644,0.04748,2.45225,0.01649,0Pi,max_slope
beta_12,-0.11895,0.07961,-1.49409,0.13873,2mMH2O2,max_slope
beta_23,0.15931,0.08518,1.87028,0.06477,2mMH2O2,max_slope
beta_34,-0.20741,0.0671,-3.09096,0.00267,2mMH2O2,max_slope
