main_effect,Estimate,SE,t_value,p_value,Treatment,feature
beta_12,-0.372,0.074,-5.012,0,0Pi,basal
beta_23,0.149,0.072,2.059,0.042,0Pi,basal
beta_34,0.188,0.07,2.692,0.008,0Pi,basal
beta_12,-0.358,0.066,-5.456,0,2mMH2O2,basal
beta_23,0.129,0.065,1.973,0.051,2mMH2O2,basal
beta_34,0.125,0.062,2.025,0.045,2mMH2O2,basal
beta_12,0,0,0,0,0Pi,plateau
beta_23,0,0,0,0,0Pi,plateau
beta_34,0.07624,0.0501,1.52161,0.1309,0Pi,plateau
beta_12,-0.31915,0.04716,-6.76781,0,2mMH2O2,plateau
beta_23,0,0,0,0,2mMH2O2,plateau
beta_34,0,0,0,0,2mMH2O2,plateau
beta_12,0,0,0,0,0Pi,max_slope
beta_23,0.16715,0.04296,3.89064,0.00017,0Pi,max_slope
beta_34,0.07151,0.0392,1.82416,0.07079,0Pi,max_slope
beta_12,-0.27076,0.06166,-4.39159,0.00002,2mMH2O2,max_slope
beta_23,0,0,0,0,2mMH2O2,max_slope
beta_34,0,0,0,0,2mMH2O2,max_slope
