main_effect,Estimate,SE,t_value,p_value,Treatment,feature
beta_1,0.485,0.054,9.034,0,0Pi,basal
beta_2,0.097,0.07,1.39,0.167,0Pi,basal
beta_3,-0.175,0.072,-2.428,0.017,0Pi,basal
beta_4,0.486,0.047,10.316,0,0Pi,basal
beta_1,0.492,0.048,10.242,0,2mMH2O2,basal
beta_2,0.103,0.062,1.667,0.098,2mMH2O2,basal
beta_3,-0.081,0.064,-1.27,0.206,2mMH2O2,basal
beta_4,0.469,0.042,11.045,0,2mMH2O2,basal
beta_1,0.55,0.026,20.874,0,0Pi,plateau
beta_2,-0.155,0.028,-5.453,0,0Pi,plateau
beta_3,0.41,0.04,10.32,0,0Pi,plateau
beta_4,0.011,0.035,0.324,0.74661,0Pi,plateau
beta_1,0.675,0.035,19.198,0,2mMH2O2,plateau
beta_2,0.229,0.035,6.576,0,2mMH2O2,plateau
beta_3,0.125,0.023,5.428,0,2mMH2O2,plateau
beta_4,0.213,0.021,9.928,0,2mMH2O2,plateau
beta_1,0.46,0.022,20.74,0,0Pi,max_slope
beta_2,-0.157,0.034,-4.687,0.00001,0Pi,max_slope
beta_3,0.275,0.043,6.449,0,0Pi,max_slope
beta_4,0.035,0.028,1.251,0.21348,0Pi,max_slope
beta_1,0.658,0.047,14.124,0,2mMH2O2,max_slope
beta_2,0.196,0.045,4.321,0.00003,2mMH2O2,max_slope
beta_3,0.082,0.03,2.723,0.00739,2mMH2O2,max_slope
beta_4,0.27,0.028,9.704,0,2mMH2O2,max_slope
