main_effect,Estimate,SE,t_value,p_value,Treatment,feature
beta_1,0.2885,0.02516,11.4668,0,0Pi,basal
beta_2,0.21943,0.02905,7.55313,0,0Pi,basal
beta_3,-0.01356,0.02905,-0.46661,0.64284,0Pi,basal
beta_4,0.24976,0.02905,8.59688,0,0Pi,basal
beta_1,0.31689,0.02675,11.84746,0,2mMH2O2,basal
beta_2,0.21298,0.03141,6.77984,0,2mMH2O2,basal
beta_3,-0.00726,0.03141,-0.23098,0.81826,2mMH2O2,basal
beta_4,0.23664,0.03141,7.53303,0,2mMH2O2,basal
beta_1,0.67126,0.0311,21.58659,0,0Pi,plateau
beta_2,-0.15796,0.03591,-4.39904,0.00006,0Pi,plateau
beta_3,0.36712,0.03591,10.22414,0,0Pi,plateau
beta_4,0.07812,0.03591,2.17561,0.03444,0Pi,plateau
beta_1,0.36759,0.03571,10.29454,0,2mMH2O2,plateau
beta_2,0.21554,0.04194,5.13971,0,2mMH2O2,plateau
beta_3,0.22315,0.04194,5.32116,0,2mMH2O2,plateau
beta_4,0.14105,0.04194,3.36348,0.00147,2mMH2O2,plateau
beta_1,0.43386,0.03889,11.15725,0,0Pi,max_slope
beta_2,0.08305,0.0449,1.84968,0.0704,0Pi,max_slope
beta_3,0.28712,0.0449,6.39441,0,0Pi,max_slope
beta_4,0.10861,0.0449,2.41884,0.01933,0Pi,max_slope
beta_1,0.35987,0.0516,6.97436,0,2mMH2O2,max_slope
beta_2,0.20979,0.0606,3.46183,0.00109,2mMH2O2,max_slope
beta_3,0.24548,0.0606,4.05079,0.00017,2mMH2O2,max_slope
beta_4,0.13604,0.0606,2.24496,0.02914,2mMH2O2,max_slope
