"Time","Genotype","genotype","Treatment","rel_ori","rel_red"
"240min","WT","wt","0Pi",1.05520367810179,1.05747156491045
"240min","WT","wt","0Pi",0.970067196090409,0.952124460713819
"240min","WT","wt","0Pi",1.05243867151079,1.06296247875539
"240min","WT","wt","0Pi",1.0217663890943,1.01040658909661
"240min","WT","wt","0Pi",0.964344275471819,0.98161851222382
"240min","WT","wt","0Pi",0.936179789730894,0.935416394299909
"240min","IS_2.4","RS1_24","0Pi",0.42825450921133,0.37228395868741
"240min","IS_2.4","RS1_24","0Pi",0.3857505706845,0.319022094391424
"240min","IS_2.4","RS1_24","0Pi",0.41790181011478,0.353457968361877
"240min","IS_2.4","RS1_24","0Pi",0.380156255023631,0.296038697869002
"240min","IS_2.4","RS1_24","0Pi",0.387486737613735,0.31627663746895
"240min","IS_2.4","RS1_24","0Pi",0.447609555348359,0.383187344750948
"240min","IS_2.4","RS1_24","0Pi",0.411985982059608,0.344044973199111
"240min","IS_2.4","RS1_24","0Pi",0.344082564382857,0.278232448686103
"240min","IS_2.4","RS1_24","0Pi",0.376362408770858,0.296117139495359
"240min","IS_2.6","RS1_26","0Pi",0.462206218049706,0.456844031899595
"240min","IS_2.6","RS1_26","0Pi",0.469408095682089,0.460138580206563
"240min","IS_2.6","RS1_26","0Pi",0.451017586727968,0.451902209439142
"240min","IS_2.6","RS1_26","0Pi",0.563868437128251,0.567682049941169
"240min","IS_2.6","RS1_26","0Pi",0.544577693470083,0.555445156229573
"240min","IS_2.6","RS1_26","0Pi",0.512297849082082,0.521166165511832
"240min","IS_2.6","RS1_26","0Pi",0.471658682442208,0.475591580598771
"240min","IS_2.6","RS1_26","0Pi",0.45924830402212,0.4489214276376
"240min","IS_2.6","RS1_26","0Pi",0.45468282802302,0.442567655902732
"240min","IS_2.8","RS1_28","0Pi",0.179532520978684,0.110838018041574
"240min","IS_2.8","RS1_28","0Pi",0.189499405202071,0.113583474964048
"240min","IS_2.8","RS1_28","0Pi",0.19406488120117,0.123624003137665
"240min","IS_2.8","RS1_28","0Pi",0.207182586888725,0.135782455222905
"240min","IS_2.8","RS1_28","0Pi",0.197601517538501,0.12503595241208
"240min","IS_2.8","RS1_28","0Pi",0.195672443172684,0.124486861027585
"240min","IS_2.8","RS1_28","0Pi",0.177024724303122,0.110759576415218
"240min","IS_2.8","RS1_28","0Pi",0.191299874610166,0.12872270885083
"240min","IS_2.8","RS1_28","0Pi",0.170594476417066,0.103386063537717
"240min","IS_2.10","RS1_210","0Pi",0.0792849564350706,0.0371028892665708
"240min","IS_2.10","RS1_210","0Pi",0.0815998456740507,0.0429860112432998
"240min","IS_2.10","RS1_210","0Pi",0.0837218274764492,0.0465158844293372
"240min","IS_2.10","RS1_210","0Pi",0.0757483200977398,0.0352987318603739
"240min","IS_2.10","RS1_210","0Pi",0.0839790373918915,0.0434566610014381
"240min","IS_2.10","RS1_210","0Pi",0.0816641481529113,0.0443195188913583
"240min","IS_2.10","RS1_210","0Pi",0.0746551779571102,0.0357693816185122
"240min","IS_2.10","RS1_210","0Pi",0.0774201845481143,0.0411818538371029
"240min","IS_2.10","RS1_210","0Pi",0.0828858952512619,0.0465158844293372
"90min","WT","wt","2mMH2O2",0.820814619792473,0.800775010048335
"90min","WT","wt","2mMH2O2",1.13351260788151,1.1369150065443
"90min","WT","wt","2mMH2O2",1.03487406197643,1.03460749657326
"90min","WT","wt","2mMH2O2",1.07953313528658,1.07696509362987
"90min","WT","wt","2mMH2O2",0.894561223196813,0.897579124197421
"90min","WT","wt","2mMH2O2",1.03670435186619,1.05315826900681
"90min","IS_2.4","RS1_24","2mMH2O2",0.702268151548003,0.698838515525966
"90min","IS_2.4","RS1_24","2mMH2O2",0.654314556436285,0.64909152744999
"90min","IS_2.4","RS1_24","2mMH2O2",0.684950793360271,0.680225907184302
"90min","IS_2.4","RS1_24","2mMH2O2",0.408351753558506,0.380785522152714
"90min","IS_2.4","RS1_24","2mMH2O2",0.628972081039605,0.622625758778123
"90min","IS_2.4","RS1_24","2mMH2O2",0.671153223422079,0.663251950407602
"90min","IS_2.4","RS1_24","2mMH2O2",0.688301631773833,0.696241407385269
"90min","IS_2.4","RS1_24","2mMH2O2",0.668618975882411,0.67311477775144
"90min","IS_2.4","RS1_24","2mMH2O2",0.625480451096062,0.627510795518958
"90min","IS_2.6","RS1_26","2mMH2O2",0.227575429062188,0.204645937896136
"90min","IS_2.6","RS1_26","2mMH2O2",0.4595435538598,0.450876523997485
"90min","IS_2.6","RS1_26","2mMH2O2",0.195559435144382,0.171811070688749
"90min","IS_2.6","RS1_26","2mMH2O2",0.503949202415983,0.499294040049057
"90min","IS_2.6","RS1_26","2mMH2O2",0.510538246019119,0.508600344219889
"90min","IS_2.6","RS1_26","2mMH2O2",0.406296197220775,0.395780729869835
