main_effect,Estimate,SE,t_value,p_value,Treatment,feature
beta_1,0.09978,0.04155,2.40149,0.02043,0Pi,basal
beta_2,-0.17458,0.04155,-4.20167,0.00012,0Pi,basal
beta_3,0.05079,0.03716,1.36681,0.17833,0Pi,basal
beta_4,0.72016,0.03218,22.37613,0,0Pi,basal
beta_1,0.08343,0.03542,2.3556,0.02263,2mMH2O2,basal
beta_2,-0.12212,0.03542,-3.44821,0.00118,2mMH2O2,basal
beta_3,0.17682,0.03168,5.58191,0,2mMH2O2,basal
beta_4,0.57843,0.02697,21.44532,0,2mMH2O2,basal
beta_1,0.30568,0.04561,6.70257,0,0Pi,plateau
beta_2,-0.08741,0.04451,-1.96396,0.05573,0Pi,plateau
beta_3,0.3843,0.03981,9.65392,0,0Pi,plateau
beta_4,0.14871,0.03447,4.31367,0.00009,0Pi,plateau
beta_1,0.63354,0.0521,12.16072,0.00E+00,2mMH2O2,plateau
beta_2,-0.25488,0.0521,-4.89233,1.00E-05,2mMH2O2,plateau
beta_3,0.27614,0.0466,5.92613,0.00E+00,2mMH2O2,plateau
beta_4,0.18479,0.03968,4.65747,3.00E-05,2mMH2O2,plateau
beta_1,0.27943,0.04828,5.78756,0,0Pi,max_slope
beta_2,-0.05886,0.04712,-1.24922,0.21804,0Pi,max_slope
beta_3,0.44876,0.04214,10.64834,0,0Pi,max_slope
beta_4,0.08746,0.0365,2.39633,0.02078,0Pi,max_slope
beta_1,0.53483,0.05648,9.46998,0.00E+00,2mMH2O2,max_slope
beta_2,-0.21495,0.05648,-3.80604,4.00E-04,2mMH2O2,max_slope
beta_3,0.21609,0.05051,4.27778,9.00E-05,2mMH2O2,max_slope
beta_4,0.26283,0.04301,6.11069,0.00E+00,2mMH2O2,max_slope
