Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d022424-0min-ash1-KOs-R2,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,10000,10,1000.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d022424-0min-ash1-KOs-R2,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,9516,10,951.600,95.160,95.160,538771,114282,517783,106689,465765,105427,149041.76,43174.65,27.66,37.78,149248.15,31437.05,28.82,29.47
d022424-0min-ash1-KOs-R2,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,4803,10,480.300,48.030,99.896,489273,501300,477984,484745,465846,437245,113657.02,130322.53,23.23,26.00,113238.02,131337.60,23.69,27.09
d022424-0min-ash1-KOs-R2,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,4808,10,480.800,48.080,48.080,489615,501691,478161,484986,465846,437245,114093.22,130829.07,23.30,26.08,113395.18,131380.60,23.71,27.09
d022424-0min-ash1-KOs-R2,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,4803,10,480.300,48.030,48.030,2931,N/A,2669,N/A,2908,N/A,1403.44,N/A,47.88,N/A,1110.47,N/A,41.61,N/A
d022424-0min-ash1-KOs-R2,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,4808,10,480.800,48.080,50.525,489615,88,478161,87,465846,87,114093.22,7.92,23.30,8.96,113395.18,7.41,23.71,8.52
d022424-0min-ash1-KOs-R2,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,9516,10,951.600,95.160,95.160,538771,109,517783,99,465765,87,149041.76,33.79,27.66,31.04,149248.15,20.76,28.82,20.97
d022424-0min-ash1-KOs-R2,0min,0min,A1.fcs,A1,Experiment,None,,Voltage,BL1-H,,4069,10,406.900,40.690,40.690,4596,N/A,4315,N/A,3346,N/A,1106.12,N/A,24.07,N/A,1074.88,N/A,24.91,N/A
d022424-0min-ash1-KOs-R2,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,32,937.500,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d022424-0min-ash1-KOs-R2,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,27959,32,873.719,93.197,93.197,508206,122750,490260,115080,445476,91172,169845.99,45038.07,33.42,36.69,161189.75,36233.26,32.88,31.49
d022424-0min-ash1-KOs-R2,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,12062,32,376.938,40.207,99.967,458832,476086,450871,461794,461938,388201,106768.78,128948.35,23.27,27.09,105876.91,131350.20,23.48,28.44
d022424-0min-ash1-KOs-R2,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,12066,32,377.063,40.220,40.220,458929,476230,450894,461835,461938,388201,106896.10,129173.45,23.29,27.12,105930.29,131395.42,23.49,28.45
d022424-0min-ash1-KOs-R2,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,12062,32,376.938,40.207,40.207,2994,N/A,2777,N/A,2931,N/A,1329.99,N/A,44.42,N/A,1141.60,N/A,41.11,N/A
d022424-0min-ash1-KOs-R2,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,12066,32,377.063,40.220,43.156,458929,87,450894,86,461938,87,106896.10,7.71,23.29,8.84,105930.29,7.41,23.49,8.62
d022424-0min-ash1-KOs-R2,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,27959,32,873.719,93.197,93.197,508206,112,490260,99,445476,87,169845.99,40.95,33.42,36.44,161189.75,23.72,32.88,23.96
d022424-0min-ash1-KOs-R2,0min,0min,A2.fcs,A2,Experiment,None,,Voltage,BL1-H,,13262,32,414.438,44.207,44.207,4654,N/A,4367,N/A,3260,N/A,1128.10,N/A,24.24,N/A,1122.33,N/A,25.70,N/A
d022424-0min-ash1-KOs-R2,0min,0min,B1.fcs,B1,Experiment,None,N/A,All Events,N/A,N/A,30000,32,937.500,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d022424-0min-ash1-KOs-R2,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,SSC-H,28496,32,890.500,94.987,94.987,535846,120291,513391,113139,461736,113693,152768.32,43911.48,28.51,36.50,153117.74,34164.29,29.82,30.20
d022424-0min-ash1-KOs-R2,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13948,32,435.875,46.493,99.971,474509,489685,467605,476824,461784,465946,107272.99,127687.65,22.61,26.08,108828.03,133124.13,23.27,27.92
d022424-0min-ash1-KOs-R2,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-A,13952,32,436.000,46.507,46.507,474605,489795,467624,476876,461784,465946,107409.17,127835.70,22.63,26.10,108869.54,133201.23,23.28,27.93
d022424-0min-ash1-KOs-R2,0min,0min,B1.fcs,B1,Experiment,None,,CTA1-GFP,BL1-H,,13948,32,435.875,46.493,46.493,3047,N/A,2839,N/A,3146,N/A,1323.42,N/A,43.43,N/A,1113.43,N/A,39.22,N/A
d022424-0min-ash1-KOs-R2,0min,0min,B1.fcs,B1,Experiment,None,,single cell,FSC-H,FSC-W,13952,32,436.000,46.507,48.961,474605,88,467624,87,461784,86,107409.17,7.78,22.63,8.86,108869.54,7.41,23.28,8.52
d022424-0min-ash1-KOs-R2,0min,0min,B1.fcs,B1,Experiment,None,,cell,FSC-H,FSC-W,28496,32,890.500,94.987,94.987,535846,111,513391,99,461736,86,152768.32,37.70,28.51,33.92,153117.74,22.24,29.82,22.46
d022424-0min-ash1-KOs-R2,0min,0min,B1.fcs,B1,Experiment,None,,Voltage,BL1-H,,13546,32,423.313,45.153,45.153,4615,N/A,4330,N/A,3486,N/A,1113.36,N/A,24.13,N/A,1068.95,N/A,24.69,N/A
d022424-0min-ash1-KOs-R2,0min,0min,B2.fcs,B2,Experiment,None,N/A,All Events,N/A,N/A,30000,34,882.353,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d022424-0min-ash1-KOs-R2,0min,0min,B2.fcs,B2,Experiment,None,,cell,FSC-H,SSC-H,28174,34,828.647,93.913,93.913,542775,122306,520076,115867,482277,119815,153343.16,43671.52,28.25,35.71,157423.21,34489.72,30.27,29.77
d022424-0min-ash1-KOs-R2,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13348,34,392.588,44.493,99.940,477840,493970,469339,480426,482175,478174,107808.17,128686.83,22.56,26.05,110063.77,135780.21,23.45,28.26
d022424-0min-ash1-KOs-R2,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-A,13356,34,392.824,44.520,44.520,478048,494228,469497,480483,482175,478174,108113.15,129084.51,22.62,26.12,110195.73,135840.26,23.47,28.27
d022424-0min-ash1-KOs-R2,0min,0min,B2.fcs,B2,Experiment,None,,CTA1-GFP,BL1-H,,13348,34,392.588,44.493,44.493,3167,N/A,2952,N/A,3864,N/A,1370.85,N/A,43.28,N/A,1166.06,N/A,39.51,N/A
d022424-0min-ash1-KOs-R2,0min,0min,B2.fcs,B2,Experiment,None,,single cell,FSC-H,FSC-W,13356,34,392.824,44.520,47.405,478048,88,469497,87,482175,87,108113.15,7.88,22.62,8.96,110195.73,8.90,23.47,10.22
d022424-0min-ash1-KOs-R2,0min,0min,B2.fcs,B2,Experiment,None,,cell,FSC-H,FSC-W,28174,34,828.647,93.913,93.913,542775,112,520076,101,482277,87,153343.16,38.12,28.25,33.90,157423.21,23.72,30.27,23.49
d022424-0min-ash1-KOs-R2,0min,0min,B2.fcs,B2,Experiment,None,,Voltage,BL1-H,,14864,34,437.176,49.547,49.547,4658,N/A,4368,N/A,3303,N/A,1125.82,N/A,24.17,N/A,1095.64,N/A,25.08,N/A
d022424-0min-ash1-KOs-R2,0min,0min,C1.fcs,C1,Experiment,None,N/A,All Events,N/A,N/A,30000,34,882.353,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d022424-0min-ash1-KOs-R2,0min,0min,C1.fcs,C1,Experiment,None,,cell,FSC-H,SSC-H,28674,34,843.353,95.580,95.580,514148,116678,485768,107752,433129,105473,155514.70,45137.88,30.25,38.69,153022.85,34133.90,31.50,31.68
d022424-0min-ash1-KOs-R2,0min,0min,C1.fcs,C1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14217,34,418.147,47.390,99.951,457889,473348,444979,456175,420893,427063,109230.62,128677.42,23.86,27.18,108005.93,130784.59,24.27,28.67
d022424-0min-ash1-KOs-R2,0min,0min,C1.fcs,C1,Experiment,None,,single cell,FSC-H,FSC-A,14224,34,418.353,47.413,47.413,458078,473554,445090,456273,420893,427063,109539.62,128981.68,23.91,27.24,108108.97,130882.44,24.29,28.69
d022424-0min-ash1-KOs-R2,0min,0min,C1.fcs,C1,Experiment,None,,CTA1-GFP,BL1-H,,14217,34,418.147,47.390,47.390,1878,N/A,1720,N/A,1598,N/A,920.24,N/A,49.01,N/A,779.85,N/A,45.34,N/A
d022424-0min-ash1-KOs-R2,0min,0min,C1.fcs,C1,Experiment,None,,single cell,FSC-H,FSC-W,14224,34,418.353,47.413,49.606,458078,87,445090,86,420893,86,109539.62,7.70,23.91,8.82,108108.97,7.41,24.29,8.62
d022424-0min-ash1-KOs-R2,0min,0min,C1.fcs,C1,Experiment,None,,cell,FSC-H,FSC-W,28674,34,843.353,95.580,95.580,514148,109,485768,98,433129,86,155514.70,36.16,30.25,33.13,153022.85,20.76,31.50,21.18
d022424-0min-ash1-KOs-R2,0min,0min,C1.fcs,C1,Experiment,None,,Voltage,BL1-H,,5307,34,156.088,17.690,17.690,4396,N/A,4088,N/A,3350,N/A,1015.37,N/A,23.10,N/A,876.22,N/A,21.43,N/A
d022424-0min-ash1-KOs-R2,0min,0min,C2.fcs,C2,Experiment,None,N/A,All Events,N/A,N/A,30000,36,833.333,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d022424-0min-ash1-KOs-R2,0min,0min,C2.fcs,C2,Experiment,None,,cell,FSC-H,SSC-H,28659,36,796.083,95.530,95.530,516339,118786,488114,110609,459936,117690,155938.94,45048.48,30.20,37.92,155130.37,34380.01,31.78,31.08
d022424-0min-ash1-KOs-R2,0min,0min,C2.fcs,C2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14223,36,395.083,47.410,99.979,455740,472033,443713,455213,425127,420985,107595.85,127102.27,23.61,26.93,107140.09,130032.91,24.15,28.57
