Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
NA,OL-0Pi-TS(1),30min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,N/A,All Events,N/A,N/A,30000,51,588.235,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,OL-0Pi-TS(1),30min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,cell,FSC-H,SSC-H,26762,51,524.745,89.207,89.207,537231,145419,510233,135139,418868,128023,157986.08,50225.52,29.41,34.54,165845.12,41399.38,32.5,30.63
NA,OL-0Pi-TS(1),30min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,12752,51,250.039,42.507,99.992,474438,496692,459420,477594,394190,420787,110710.84,132206.97,23.34,26.62,114206.16,140204.29,24.86,29.36
NA,OL-0Pi-TS(1),30min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,single cell,FSC-H,FSC-A,12753,51,250.059,42.51,42.51,474463,496715,459427,477595,394190,420787,110744.28,132228.69,23.34,26.62,114223.95,140239.13,24.86,29.36
NA,OL-0Pi-TS(1),30min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,CTA1-GFP,BL1-H,,12752,51,250.039,42.507,42.507,7538,N/A,6839,N/A,7980,N/A,3711.61,N/A,49.24,N/A,3019.31,N/A,44.15,N/A
NA,OL-0Pi-TS(1),30min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,single cell,FSC-H,FSC-W,12753,51,250.059,42.51,47.653,474463,86,459427,85,394190,87,110744.28,6.84,23.34,7.94,114223.95,7.41,24.86,8.72
NA,OL-0Pi-TS(1),30min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,cell,FSC-H,FSC-W,26762,51,524.745,89.207,89.207,537231,106,510233,97,418868,87,157986.08,38.79,29.41,36.46,165845.12,17.79,32.5,18.34
NA,OL-0Pi-TS(1),30min-0Pi,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,N/A,All Events,N/A,N/A,30000,31,967.742,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,OL-0Pi-TS(1),30min-0Pi,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,cell,FSC-H,SSC-H,26728,31,862.194,89.093,89.093,522285,133222,496607,123043,472014,103446,168850.17,50355.3,32.33,37.8,163581.19,41595.82,32.94,33.81
NA,OL-0Pi-TS(1),30min-0Pi,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,11392,31,367.484,37.973,99.912,460721,473658,452832,460205,472014,422918,118981.29,137363.26,25.83,29,117910.43,138814.35,26.04,30.16
