Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
NA,OL-H2O2-TS-R2,30min-2mM-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,N/A,All Events,N/A,N/A,30000,27,1111.111,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,OL-H2O2-TS-R2,30min-2mM-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,cell,FSC-H,SSC-H,26496,27,981.333,88.320,88.320,565961,145430,547555,136105,441317,132103,159471.63,50270.28,28.18,34.57,174974.22,40652.15,31.96,29.87
NA,OL-H2O2-TS-R2,30min-2mM-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,11833,27,438.259,39.443,99.958,494698,513631,487986,503165,451721,486434,111802.48,132976.46,22.60,25.89,117798.50,144738.82,24.14,28.77
NA,OL-H2O2-TS-R2,30min-2mM-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,single cell,FSC-H,FSC-A,11838,27,438.444,39.460,39.460,494732,513748,488025,503218,451721,486434,111800.84,133078.73,22.60,25.90,117854.10,144870.77,24.15,28.79
NA,OL-H2O2-TS-R2,30min-2mM-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,CTA1-GFP,BL1-H,,11833,27,438.259,39.443,39.443,17159,N/A,17005,N/A,23380,N/A,8831.73,N/A,51.47,N/A,9128.37,N/A,53.68,N/A
NA,OL-H2O2-TS-R2,30min-2mM-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,single cell,FSC-H,FSC-W,11838,27,438.444,39.460,44.678,494732,86,488025,85,451721,86,111800.84,6.97,22.60,8.11,117854.10,7.41,24.15,8.72
NA,OL-H2O2-TS-R2,30min-2mM-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,cell,FSC-H,FSC-W,26496,27,981.333,88.320,88.320,565961,113,547555,99,441317,86,159471.63,52.42,28.18,46.32,174974.22,20.76,31.96,20.97
NA,OL-H2O2-TS-R2,30min-2mM-H2O2,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,N/A,All Events,N/A,N/A,30000,41,731.707,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,OL-H2O2-TS-R2,30min-2mM-H2O2,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,cell,FSC-H,SSC-H,25739,41,627.780,85.797,85.797,597563,155435,590398,145099,443426,119766,153969.64,51021.08,25.77,32.82,183496.95,43758.94,31.08,30.16
NA,OL-H2O2-TS-R2,30min-2mM-H2O2,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,10845,41,264.512,36.150,100.000,509811,534844,500893,523496,418645,463914,103831.92,125768.83,20.37,23.52,115556.81,144568.32,23.07,27.62
