Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
NA,TrunV-H2O2-TS-R2,90min-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,N/A,All Events,N/A,N/A,30000,60,500.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,TrunV-H2O2-TS-R2,90min-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,cell,FSC-H,SSC-H,22804,60,380.067,76.013,76.013,639029,175297,652511,167455,717889,154640,156091.73,54819.37,24.43,31.27,175385.65,50856.14,26.88,30.37
NA,TrunV-H2O2-TS-R2,90min-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,7012,60,116.867,23.373,99.986,524128,553021,527670,556255,498814,517305,111334.64,134036.64,21.24,24.24,119077.98,152359.39,22.57,27.39
NA,TrunV-H2O2-TS-R2,90min-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,single cell,FSC-H,FSC-A,7013,60,116.883,23.377,23.377,524162,553079,527707,556256,498814,517305,111362.76,134115.30,21.25,24.25,119034.99,152380.14,22.56,27.39
NA,TrunV-H2O2-TS-R2,90min-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,CTA1-GFP,BL1-H,,7012,60,116.867,23.373,23.373,64364,N/A,64581,N/A,89945,N/A,48578.05,N/A,75.47,N/A,58200.20,N/A,90.12,N/A
NA,TrunV-H2O2-TS-R2,90min-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,single cell,FSC-H,FSC-W,7013,60,116.883,23.377,30.753,524162,89,527707,89,498814,86,111362.76,7.15,21.25,8.06,119034.99,7.41,22.56,8.33
NA,TrunV-H2O2-TS-R2,90min-H2O2,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,cell,FSC-H,FSC-W,22804,60,380.067,76.013,76.013,639029,122,652511,110,717889,96,156091.73,52.98,24.43,43.28,175385.65,26.69,26.88,24.26
NA,TrunV-H2O2-TS-R2,90min-H2O2,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,N/A,All Events,N/A,N/A,30000,60,500.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,TrunV-H2O2-TS-R2,90min-H2O2,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,cell,FSC-H,SSC-H,22218,60,370.300,74.060,74.060,669278,190467,685607,183371,713812,158805,145411.59,55941.47,21.73,29.37,148955.34,56238.72,21.73,30.67
NA,TrunV-H2O2-TS-R2,90min-H2O2,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,6570,60,109.500,21.900,100.000,553672,588045,567305,603560,621423,709722,110117.31,132111.78,19.89,22.47,114006.01,139267.29,20.10,23.07
NA,TrunV-H2O2-TS-R2,90min-H2O2,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,single cell,FSC-H,FSC-A,6570,60,109.500,21.900,21.900,553672,588045,567305,603560,621423,709722,110117.31,132111.78,19.89,22.47,114006.01,139267.29,20.10,23.07
NA,TrunV-H2O2-TS-R2,90min-H2O2,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,CTA1-GFP,BL1-H,,6570,60,109.500,21.900,21.900,82877,N/A,76892,N/A,75381,N/A,31802.50,N/A,38.37,N/A,24568.16,N/A,31.95,N/A
NA,TrunV-H2O2-TS-R2,90min-H2O2,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,single cell,FSC-H,FSC-W,6570,60,109.500,21.900,29.571,553672,90,567305,90,621423,92,110117.31,7.17,19.89,7.98,114006.01,7.41,20.10,8.24
NA,TrunV-H2O2-TS-R2,90min-H2O2,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,cell,FSC-H,FSC-W,22218,60,370.300,74.060,74.060,669278,120,685607,113,713812,93,145411.59,40.72,21.73,33.86,148955.34,26.69,21.73,23.62
NA,TrunV-H2O2-TS-R2,90min-H2O2,yH324-2V.fcs,yH324-2V,Experiment,None,N/A,All Events,N/A,N/A,30000,71,422.535,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,TrunV-H2O2-TS-R2,90min-H2O2,yH324-2V.fcs,yH324-2V,Experiment,None,,cell,FSC-H,SSC-H,23852,71,335.944,79.507,79.507,629874,175682,639501,167971,660533,146426,149286.55,53282.40,23.70,30.33,168726.55,49267.54,26.38,29.33
NA,TrunV-H2O2-TS-R2,90min-H2O2,yH324-2V.fcs,yH324-2V,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,8328,71,117.296,27.760,100.000,530045,559415,531735,561989,484292,488213,105472.28,127001.97,19.90,22.70,114123.13,141365.91,21.46,25.15
NA,TrunV-H2O2-TS-R2,90min-H2O2,yH324-2V.fcs,yH324-2V,Experiment,None,,single cell,FSC-H,FSC-A,8328,71,117.296,27.760,27.760,530045,559415,531735,561989,484292,488213,105472.28,127001.97,19.90,22.70,114123.13,141365.91,21.46,25.15
NA,TrunV-H2O2-TS-R2,90min-H2O2,yH324-2V.fcs,yH324-2V,Experiment,None,,CTA1-GFP,BL1-H,,8328,71,117.296,27.760,27.760,13774,N/A,9009,N/A,12329,N/A,15256.84,N/A,110.77,N/A,8097.22,N/A,89.88,N/A
NA,TrunV-H2O2-TS-R2,90min-H2O2,yH324-2V.fcs,yH324-2V,Experiment,None,,single cell,FSC-H,FSC-W,8328,71,117.296,27.760,34.915,530045,89,531735,89,484292,87,105472.28,6.99,19.90,7.84,114123.13,7.41,21.46,8.33
NA,TrunV-H2O2-TS-R2,90min-H2O2,yH324-2V.fcs,yH324-2V,Experiment,None,,cell,FSC-H,FSC-W,23852,71,335.944,79.507,79.507,629874,118,639501,107,660533,87,149286.55,45.16,23.70,38.38,168726.55,23.72,26.38,22.17
