Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d080521-0min-H2O2-M4S7-R3,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,40,750.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d080521-0min-H2O2-M4S7-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28343,40,708.575,94.477,94.477,489280,140379,455997,128308,410661,119793,155130.86,54231.86,31.71,38.63,154918.35,43613.64,33.97,33.99
d080521-0min-H2O2-M4S7-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,16287,40,407.175,54.290,99.969,450959,466476,426803,436696,367716,398383,118204.76,138186.68,26.21,29.62,116327.76,137435.53,27.26,31.47
d080521-0min-H2O2-M4S7-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,16292,40,407.300,54.307,54.307,451068,466615,426864,436762,367716,398383,118354.99,138392.11,26.24,29.66,116382.62,137444.43,27.26,31.47
d080521-0min-H2O2-M4S7-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,16287,40,407.175,54.290,54.290,8468,N/A,7214,N/A,7989,N/A,4962.35,N/A,58.60,N/A,3633.85,N/A,50.37,N/A
d080521-0min-H2O2-M4S7-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,16292,40,407.300,54.307,57.482,451068,87,426864,86,367716,86,118354.99,7.99,26.24,9.20,116382.62,7.41,27.26,8.62
d080521-0min-H2O2-M4S7-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28343,40,708.575,94.477,94.477,489280,103,455997,93,410661,86,155130.86,38.33,31.71,37.24,154918.35,14.83,33.97,15.94
d080521-0min-H2O2-M4S7-R3,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,44,681.818,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d080521-0min-H2O2-M4S7-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28655,44,651.250,95.517,95.517,464571,137106,430982,124087,349080,121914,151651.92,55260.15,32.64,40.30,148872.31,43158.49,34.54,34.78
d080521-0min-H2O2-M4S7-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15391,44,349.795,51.303,99.916,434264,448777,408491,417783,353262,328822,117167.38,136358.50,26.98,30.38,116081.65,135444.40,28.42,32.42
