Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,A1,17787,5385,6803,4836.43,71.43,59.06
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,A2,17485,2428,4792,2422.66,79.61,61.55
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,A3,17604,5564,6144,4596.13,67.36,57.22
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,A4,17075,2578,3547,2361.1,74.86,58.54
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,B1,17336,5366,6809,3731.64,59.77,51.83
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,B2,17165,2429,2978,2090.79,70.22,61.46
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,B3,17218,5562,6909,3529.42,55.61,48.5
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,B4,17591,2661,3683,1972.94,62.9,56.05
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,C1,17444,4407,4850,2828.5,56.49,52.91
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,C3,17989,4441,5228,2682.7,53.81,49.31
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,D1,18303,4343,4428,2754.03,56.1,51.48
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,D3,18118,4331,4681,2758.08,56.26,51.64
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,E1,17656,4420,5571,2880.69,57.16,52.73
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,E3,18202,4433,5811,2756.02,55.14,50.49
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,F1,17776,2913,4971,3495.53,86.7,64.87
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,F3,17241,3148,5223,3410.43,81.86,61.27
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,G1,17641,3218,4908,3793.39,85.44,66.39
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,G3,17485,3378,4845,3797.45,83.51,62.5
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,H1,16655,3214,5729,3704.56,84.53,65.18
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,H3,17459,3548,3424,3670.02,79.38,60.34
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,C2,17210,2657,4020,2631.23,80.19,57.86
Rep1-0Pi-Ctrl,d072421-0min-0Pi-M4S7-R1,0min,C4,16602,2848,3682,2819.01,81.33,54.71
Rep1-H2O2-Rep2-0Pi,d072721-0min-0Pi-M4S7-R2,0min,A1,16342,7516,8400,4805.46,55.34,49.43
Rep1-H2O2-Rep2-0Pi,d072721-0min-0Pi-M4S7-R2,0min,A2,17053,2938,4145,2493.79,69.74,54.95
Rep1-H2O2-Rep2-0Pi,d072721-0min-0Pi-M4S7-R2,0min,A3,17658,7893,8252,4868.33,53.9,49.51
Rep1-H2O2-Rep2-0Pi,d072721-0min-0Pi-M4S7-R2,0min,A4,18561,3254,4021,2496.69,64.62,51.62
Rep1-H2O2-Rep2-0Pi,d072721-0min-0Pi-M4S7-R2,0min,B1,17611,7970,8110,4719.51,52.29,45.98
Rep1-H2O2-Rep2-0Pi,d072721-0min-0Pi-M4S7-R2,0min,B2,17250,3113,3252,2126.42,58.67,51.47
Rep1-H2O2-Rep2-0Pi,d072721-0min-0Pi-M4S7-R2,0min,B3,17061,8310,8392,4778.81,50.94,44.12
Rep1-H2O2-Rep2-0Pi,d072721-0min-0Pi-M4S7-R2,0min,B4,16630,3336,4281,2001.81,52.69,48.58
