Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d062621-0min-H2O2-M24KO,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,46,652.174,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d062621-0min-H2O2-M24KO,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,26954,46,585.957,89.847,89.847,511612,145725,476665,131389,410558,127995,161735.14,57033.88,31.61,39.14,166896.28,47390.57,35.01,36.07
d062621-0min-H2O2-M24KO,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15265,46,331.848,50.883,99.921,464590,485798,440482,456433,410572,412676,122067.18,144016.87,26.27,29.65,121840.07,146012.38,27.66,31.99
d062621-0min-H2O2-M24KO,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,15277,46,332.109,50.923,50.923,464833,486153,440619,456501,410572,412676,122330.86,144517.09,26.32,29.73,121942.37,146289.62,27.68,32.05
d062621-0min-H2O2-M24KO,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,15265,46,331.848,50.883,50.883,8821,N/A,7117,N/A,8525,N/A,5951.52,N/A,67.47,N/A,4118.66,N/A,57.87,N/A
d062621-0min-H2O2-M24KO,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,15277,46,332.109,50.923,56.678,464833,87,440619,86,410572,86,122330.86,8.34,26.32,9.55,121942.37,7.41,27.68,8.62
d062621-0min-H2O2-M24KO,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,26954,46,585.957,89.847,89.847,511612,103,476665,94,410558,86,161735.14,36.44,31.61,35.24,166896.28,16.31,35.01,17.35
d062621-0min-H2O2-M24KO,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,43,697.674,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d062621-0min-H2O2-M24KO,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,27650,43,643.023,92.167,92.167,515063,145017,488386,134329,394124,130104,154085.18,53437.44,29.92,36.85,160331.33,44953.17,32.83,33.46
d062621-0min-H2O2-M24KO,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15609,43,363.000,52.030,99.910,472477,494832,453410,471400,394121,379874,118652.43,141344.00,25.11,28.56,122427.18,147809.29,27.00,31.36
d062621-0min-H2O2-M24KO,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,15623,43,363.326,52.077,52.077,472774,495224,453556,471613,394121,379874,119017.08,141891.45,25.17,28.65,122748.90,147899.73,27.06,31.36
d062621-0min-H2O2-M24KO,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,15609,43,363.000,52.030,52.030,6280,N/A,5460,N/A,7129,N/A,3531.81,N/A,56.24,N/A,2689.44,N/A,49.26,N/A
d062621-0min-H2O2-M24KO,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,15623,43,363.326,52.077,56.503,472774,88,453556,86,394121,86,119017.08,8.25,25.17,9.42,122748.90,7.41,27.06,8.62
d062621-0min-H2O2-M24KO,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,27650,43,643.023,92.167,92.167,515063,106,488386,95,394124,86,154085.18,42.21,29.92,39.92,160331.33,16.31,32.83,17.17
d062621-0min-H2O2-M24KO,0min,0min,A3.fcs,A3,Experiment,None,N/A,All Events,N/A,N/A,30000,38,789.474,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d062621-0min-H2O2-M24KO,0min,0min,A3.fcs,A3,Experiment,None,,cell,FSC-H,SSC-H,26599,38,699.974,88.663,88.663,532339,141487,497719,129922,410545,125986,164138.66,53273.13,30.83,37.65,167974.13,42937.58,33.75,33.05
d062621-0min-H2O2-M24KO,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14041,38,369.500,46.803,99.815,479397,502765,459480,476352,420927,437520,121530.64,145993.78,25.35,29.04,120025.36,148875.28,26.12,31.25
d062621-0min-H2O2-M24KO,0min,0min,A3.fcs,A3,Experiment,None,,single cell,FSC-H,FSC-A,14067,38,370.184,46.890,46.890,479944,503527,459714,476757,420927,437520,122121.13,146942.16,25.44,29.18,120372.29,149245.93,26.18,31.30
d062621-0min-H2O2-M24KO,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,BL1-H,,14041,38,369.500,46.803,46.803,8479,N/A,6928,N/A,7025,N/A,5480.82,N/A,64.64,N/A,3796.94,N/A,54.81,N/A
d062621-0min-H2O2-M24KO,0min,0min,A3.fcs,A3,Experiment,None,,single cell,FSC-H,FSC-W,14067,38,370.184,46.890,52.885,479944,87,459714,86,420927,86,122121.13,8.49,25.44,9.70,120372.29,8.90,26.18,10.34
d062621-0min-H2O2-M24KO,0min,0min,A3.fcs,A3,Experiment,None,,cell,FSC-H,FSC-W,26599,38,699.974,88.663,88.663,532339,108,497719,97,410545,86,164138.66,43.18,30.83,40.03,167974.13,19.27,33.75,19.87
d062621-0min-H2O2-M24KO,0min,0min,A4.fcs,A4,Experiment,None,N/A,All Events,N/A,N/A,30000,44,681.818,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d062621-0min-H2O2-M24KO,0min,0min,A4.fcs,A4,Experiment,None,,cell,FSC-H,SSC-H,27928,44,634.727,93.093,93.093,522071,142437,494520,133108,418738,130020,152986.97,50796.97,29.30,35.66,156116.29,41726.29,31.57,31.35
