Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d071721-0min-0Pi-S7Y1-R3,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,38,789.474,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d071721-0min-0Pi-S7Y1-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28001,38,736.868,93.337,93.337,481462,138105,443927,125228,412732,121815,155843.37,55154.70,32.37,39.94,147364.51,42479.45,33.20,33.92
d071721-0min-0Pi-S7Y1-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,16501,38,434.237,55.003,99.964,445446,461106,422931,432642,396301,371744,117753.82,137478.23,26.44,29.81,113307.70,132416.93,26.79,30.61
d071721-0min-0Pi-S7Y1-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,16507,38,434.395,55.023,55.023,445556,461271,422950,432725,396301,371744,117874.89,137726.82,26.46,29.86,113332.91,132501.44,26.80,30.62
d071721-0min-0Pi-S7Y1-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,16501,38,434.237,55.003,55.003,8285,N/A,7157,N/A,6228,N/A,4483.83,N/A,54.12,N/A,3390.71,N/A,47.38,N/A
d071721-0min-0Pi-S7Y1-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,16507,38,434.395,55.023,58.951,445556,86,422950,85,396301,86,117874.89,7.98,26.46,9.24,113332.91,7.41,26.80,8.72
d071721-0min-0Pi-S7Y1-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28001,38,736.868,93.337,93.337,481462,102,443927,92,412732,86,155843.37,39.34,32.37,38.50,147364.51,14.83,33.20,16.12
d071721-0min-0Pi-S7Y1-R3,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,48,625.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d071721-0min-0Pi-S7Y1-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,27482,48,572.542,91.607,91.607,486318,139197,448091,125333,394305,125955,161549.95,57980.97,33.22,41.65,158134.85,45839.03,35.29,36.57
d071721-0min-0Pi-S7Y1-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13966,48,290.958,46.553,99.886,437425,453095,413040,422975,394308,390305,117842.56,137983.05,26.94,30.45,109576.00,131370.22,26.53,31.06
d071721-0min-0Pi-S7Y1-R3,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,13982,48,291.292,46.607,46.607,437753,453604,413169,423149,394308,390305,118216.45,138751.47,27.01,30.59,109797.65,131605.21,26.57,31.10
d071721-0min-0Pi-S7Y1-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,13966,48,290.958,46.553,46.553,5544,N/A,4548,N/A,4974,N/A,3640.26,N/A,65.67,N/A,2641.99,N/A,58.09,N/A
d071721-0min-0Pi-S7Y1-R3,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,13982,48,291.292,46.607,50.877,437753,86,413169,85,394308,86,118216.45,8.00,27.01,9.31,109797.65,7.41,26.57,8.72
d071721-0min-0Pi-S7Y1-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,27482,48,572.542,91.607,91.607,486318,111,448091,94,394305,86,161549.95,51.22,33.22,46.32,158134.85,17.79,35.29,18.93
d071721-0min-0Pi-S7Y1-R3,0min,0min,A3.fcs,A3,Experiment,None,N/A,All Events,N/A,N/A,30000,41,731.707,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
