Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d072021-0min-H2O2-S7Y1-R2,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,30,1000.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d072021-0min-H2O2-S7Y1-R2,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28617,30,953.900,95.390,95.390,467844,130030,438182,120691,396309,123929,149729.47,50676.03,32.00,38.97,134182.71,37846.33,30.62,31.36
d072021-0min-H2O2-S7Y1-R2,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,17521,30,584.033,58.403,99.909,440940,454590,422341,429883,396269,408804,114244.48,134263.03,25.91,29.53,106007.38,125465.02,25.10,29.19
d072021-0min-H2O2-S7Y1-R2,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,17537,30,584.567,58.457,58.457,441186,454961,422463,430042,396269,408804,114564.41,134804.36,25.97,29.63,106084.48,125700.76,25.11,29.23
d072021-0min-H2O2-S7Y1-R2,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,17521,30,584.033,58.403,58.403,7920,N/A,7099,N/A,7731,N/A,3822.96,N/A,48.27,N/A,3057.12,N/A,43.06,N/A
d072021-0min-H2O2-S7Y1-R2,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,17537,30,584.567,58.457,61.282,441186,84,422463,83,396269,86,114564.41,8.25,25.97,9.79,106084.48,7.41,25.11,8.93
d072021-0min-H2O2-S7Y1-R2,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28617,30,953.900,95.390,95.390,467844,100,438182,89,396309,87,149729.47,42.62,32.00,42.42,134182.71,14.83,30.62,16.66
d072021-0min-H2O2-S7Y1-R2,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,49,612.245,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d072021-0min-H2O2-S7Y1-R2,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,29028,49,592.408,96.760,96.760,470111,120976,444368,112726,386013,121875,138729.03,44862.68,29.51,37.08,120020.17,33103.49,27.01,29.37
d072021-0min-H2O2-S7Y1-R2,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,18959,49,386.918,63.197,99.926,447635,459346,432337,437144,412754,392208,108808.79,127464.85,24.31,27.75,99629.24,117005.31,23.04,26.77
d072021-0min-H2O2-S7Y1-R2,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,18973,49,387.204,63.243,63.243,447857,459678,432415,437254,412754,392208,109105.35,128024.13,24.36,27.85,99725.60,117198.05,23.06,26.80
d072021-0min-H2O2-S7Y1-R2,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,18959,49,386.918,63.197,63.197,5475,N/A,4805,N/A,5578,N/A,2998.80,N/A,54.77,N/A,2309.89,N/A,48.07,N/A
d072021-0min-H2O2-S7Y1-R2,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,18973,49,387.204,63.243,65.361,447857,85,432415,83,412754,86,109105.35,7.99,24.36,9.42,99725.60,7.41,23.06,8.93
d072021-0min-H2O2-S7Y1-R2,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,29028,49,592.408,96.760,96.760,470111,96,444368,89,386013,92,138729.03,31.49,29.51,32.86,120020.17,13.34,27.01,14.99
d072021-0min-H2O2-S7Y1-R2,0min,0min,A3.fcs,A3,Experiment,None,N/A,All Events,N/A,N/A,30000,52,576.923,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d072021-0min-H2O2-S7Y1-R2,0min,0min,A3.fcs,A3,Experiment,None,,cell,FSC-H,SSC-H,28772,52,553.308,95.907,95.907,495350,124710,467630,116649,418918,121855,149797.36,45991.68,30.24,36.88,137365.11,35158.38,29.37,30.14
d072021-0min-H2O2-S7Y1-R2,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,18178,52,349.577,60.593,99.945,464371,478153,449536,455818,418936,388147,115377.58,135444.50,24.85,28.33,110537.46,129902.44,24.59,28.50
d072021-0min-H2O2-S7Y1-R2,0min,0min,A3.fcs,A3,Experiment,None,,single cell,FSC-H,FSC-A,18188,52,349.769,60.627,60.627,464520,478373,449591,455932,418936,388147,115567.00,135755.34,24.88,28.38,110596.77,130071.46,24.60,28.53
d072021-0min-H2O2-S7Y1-R2,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,BL1-H,,18178,52,349.577,60.593,60.593,7952,N/A,7150,N/A,8672,N/A,3837.44,N/A,48.26,N/A,3069.72,N/A,42.93,N/A
d072021-0min-H2O2-S7Y1-R2,0min,0min,A3.fcs,A3,Experiment,None,,single cell,FSC-H,FSC-W,18188,52,349.769,60.627,63.214,464520,86,449591,84,418936,86,115567.00,8.40,24.88,9.81,110596.77,7.41,24.60,8.82
d072021-0min-H2O2-S7Y1-R2,0min,0min,A3.fcs,A3,Experiment,None,,cell,FSC-H,FSC-W,28772,52,553.308,95.907,95.907,495350,98,467630,90,418918,86,149797.36,32.28,30.24,32.99,137365.11,13.34,29.37,14.83
d072021-0min-H2O2-S7Y1-R2,0min,0min,A4.fcs,A4,Experiment,None,N/A,All Events,N/A,N/A,30000,30,1000.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d072021-0min-H2O2-S7Y1-R2,0min,0min,A4.fcs,A4,Experiment,None,,cell,FSC-H,SSC-H,28763,30,958.767,95.877,95.877,490524,132183,462800,123449,418864,128031,145661.08,48864.57,29.69,36.97,135303.56,36274.77,29.24,29.38
