Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep1-0Pi-Ctrl,d071021-0min-0Pi-S7Y1-R1,0min,A1,16396,5896,6813,3853.32,56.46,49.03
Rep1-0Pi-Ctrl,d071021-0min-0Pi-S7Y1-R1,0min,A2,16935,3656,4853,2831.74,64.22,55.88
Rep1-0Pi-Ctrl,d071021-0min-0Pi-S7Y1-R1,0min,A3,16152,5944,7479,3781.59,55.22,47.13
Rep1-0Pi-Ctrl,d071021-0min-0Pi-S7Y1-R1,0min,A4,16626,3691,4194,2864.67,64.69,54.72
Rep1-0Pi-Ctrl,d071021-0min-0Pi-S7Y1-R1,0min,B1,16010,6700,6706,4040.91,53.25,45.78
Rep1-0Pi-Ctrl,d071021-0min-0Pi-S7Y1-R1,0min,B2,16546,3612,5229,2979.02,67.36,58.11
Rep1-0Pi-Ctrl,d071021-0min-0Pi-S7Y1-R1,0min,B3,15915,6658,6709,4068.87,53.6,45.18
Rep1-0Pi-Ctrl,d071021-0min-0Pi-S7Y1-R1,0min,B4,16691,3782,4856,2873.45,63.53,55.67
Rep1-0Pi-Ctrl,d071021-0min-0Pi-S7Y1-R1,0min,C1,0,NA,NA,NA,NA,NA
Rep1-0Pi-Ctrl,d071021-0min-0Pi-S7Y1-R1,0min,C3,16546,3988,5431,4783.37,88.84,62.64
Rep1-0Pi-Ctrl,d071021-0min-0Pi-S7Y1-R1,0min,D1,16543,3677,5093,4328.77,89.61,60.52
Rep1-0Pi-Ctrl,d071021-0min-0Pi-S7Y1-R1,0min,D3,16501,3676,4059,4487.1,92.32,59.69
Rep1-0Pi-Ctrl,d071021-0min-0Pi-S7Y1-R1,0min,E1,16408,3968,4846,5546.82,100.11,65.75
Rep1-0Pi-Ctrl,d071021-0min-0Pi-S7Y1-R1,0min,E3,15920,4037,4970,6064.39,105.39,63.87
Rep1-0Pi-Ctrl,d071021-0min-0Pi-S7Y1-R1,0min,F1,15925,5252,5880,6095.99,88.08,59.03
Rep1-0Pi-Ctrl,d071021-0min-0Pi-S7Y1-R1,0min,F3,15848,5474,6050,6364.61,89.74,57.19
Rep1-0Pi-Ctrl,d071021-0min-0Pi-S7Y1-R1,0min,G1,15517,4962,5034,3966.83,66.95,53.33
