Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,A1,14062,7816,8996,4902.15,55.55,52.98
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,A2,16406,5556,5810,2998.36,48.66,44.13
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,A3,12545,7760,8384,4631.75,53.28,51.81
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,A4,15663,5598,6709,2900.49,47.16,43.91
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,B1,14570,8596,9304,4821.58,50.63,42.96
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,B2,16237,5480,7016,2908.76,48.01,43.91
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,B3,14062,8729,9151,4644.89,48.77,42.07
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,B4,17159,5660,7242,2802.15,45.47,42.09
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,C1,15418,7511,8110,4826.28,55.88,50.43
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,C2,16064,5493,5503,3083.57,50.88,46.97
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,C3,15261,7744,7977,4802.79,54.52,49.22
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,C4,15019,5579,6233,2934.38,48.21,44.67
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,D1,17546,8597,10007,4915.3,51.32,48.34
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,D3,14157,8593,10199,4957.48,51.72,48.79
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,E1,15708,8662,10192,5190.56,53.49,49.11
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,E3,14306,8626,10388,4896.14,50.97,48.45
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,F1,17373,6097,5806,3295.53,48.9,43.24
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,F3,15174,6138,6812,3048.75,45.61,41.71
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,G1,15845,6075,6607,3157.55,47.22,43.2
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,G3,15893,5965,6712,2943.21,45.24,42.4
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,H1,15252,6285,6705,3180.98,46.16,42.65
Rep1-0Pi-Ctrl,d060521-0min-0Pi-M24KO,0min,H3,15691,6425,6706,3144.57,45,41.14
Rep2-0Pi-Rep1-H2O2,d060621-0min-0Pi-M24KO,0min,A1,16582,7353,7020,4387.88,52.46,46.37
Rep2-0Pi-Rep1-H2O2,d060621-0min-0Pi-M24KO,0min,A2,16888,4304,5226,2336.87,49.7,46.77
Rep2-0Pi-Rep1-H2O2,d060621-0min-0Pi-M24KO,0min,A3,16421,7821,8388,4344.47,49.43,44.23
Rep2-0Pi-Rep1-H2O2,d060621-0min-0Pi-M24KO,0min,A4,16514,5781,6803,2579.77,41.82,38.28
Rep2-0Pi-Rep1-H2O2,d060621-0min-0Pi-M24KO,0min,B1,16352,7464,7596,3752.34,45.69,41.31
