Sample,Strain,group_name,treat,time_1_min,time_2_min,time_3_min
A1,yH298,wt,H2O2,0,90,180
B1,yH299,wt,H2O2,0,90,180
C1,yH440,skn7_ko,H2O2,0,90,180
D1,yH441,skn7_ko,H2O2,0,90,180
E1,yH442,skn7_ko,H2O2,0,90,180
F1,yH446,yap1_ko,H2O2,0,90,180
G1,yH447,yap1_ko,H2O2,0,90,180
H1,yH448,yap1_ko,H2O2,0,90,180
A2,yH452,skn7yap1_ko,H2O2,0,90,180
B2,yH453,skn7yap1_ko,H2O2,0,90,180
C2,,,,,,
D2,,,,,,
E2,,,,,,
F2,,,,,,
G2,,,,,,
H2,,,,,,
A3,yH298,wt,0Pi,0,90,180
B3,yH299,wt,0Pi,0,90,180
C3,yH440,skn7_ko,0Pi,0,90,180
D3,yH441,skn7_ko,0Pi,0,90,180
E3,yH442,skn7_ko,0Pi,0,90,180
F3,yH446,yap1_ko,0Pi,0,90,180
G3,yH447,yap1_ko,0Pi,0,90,180
H3,yH448,yap1_ko,0Pi,0,90,180
A4,yH452,skn7yap1_ko,0Pi,0,90,180
B4,yH453,skn7yap1_ko,0Pi,0,90,180
C4,,,,,,
D4,,,,,,
E4,,,,,,
F4,,,,,,
G4,,,,,,
H4,,,,,,
A5,yH298,wt,H2O2,30,120,210
B5,yH299,wt,H2O2,30,120,210
C5,yH440,skn7_ko,H2O2,30,120,210
D5,yH441,skn7_ko,H2O2,30,120,210
E5,yH442,skn7_ko,H2O2,30,120,210
F5,yH446,yap1_ko,H2O2,30,120,210
G5,yH447,yap1_ko,H2O2,30,120,210
H5,yH448,yap1_ko,H2O2,30,120,210
A6,yH452,skn7yap1_ko,H2O2,30,120,210
B6,yH453,skn7yap1_ko,H2O2,30,120,210
C6,,,,30,120,210
D6,,,,,,
E6,,,,,,
F6,,,,,,
G6,,,,,,
H6,,,,,,
A7,yH298,wt,0Pi,30,120,210
B7,yH299,wt,0Pi,30,120,210
C7,yH440,skn7_ko,0Pi,30,120,210
D7,yH441,skn7_ko,0Pi,30,120,210
E7,yH442,skn7_ko,0Pi,30,120,210
F7,yH446,yap1_ko,0Pi,30,120,210
G7,yH447,yap1_ko,0Pi,30,120,210
H7,yH448,yap1_ko,0Pi,30,120,210
A8,yH452,skn7yap1_ko,0Pi,30,120,210
B8,yH453,skn7yap1_ko,0Pi,30,120,210
C8,,,,,,
D8,,,,,,
E8,,,,,,
F8,,,,,,
G8,,,,,,
H8,,,,,,
A9,yH298,wt,H2O2,60,150,240
B9,yH299,wt,H2O2,60,150,240
C9,yH440,skn7_ko,H2O2,60,150,240
D9,yH441,skn7_ko,H2O2,60,150,240
E9,yH442,skn7_ko,H2O2,60,150,240
F9,yH446,yap1_ko,H2O2,60,150,240
G9,yH447,yap1_ko,H2O2,60,150,240
H9,yH448,yap1_ko,H2O2,60,150,240
A10,yH452,skn7yap1_ko,H2O2,60,150,240
B10,yH453,skn7yap1_ko,H2O2,60,150,240
C10,,,,,,
D10,,,,,,
E10,,,,,,
F10,,,,,,
G10,,,,,,
H10,,,,,,
A11,yH298,wt,0Pi,60,150,240
B11,yH299,wt,0Pi,60,150,240
C11,yH440,skn7_ko,0Pi,60,150,240
D11,yH441,skn7_ko,0Pi,60,150,240
E11,yH442,skn7_ko,0Pi,60,150,240
F11,yH446,yap1_ko,0Pi,60,150,240
G11,yH447,yap1_ko,0Pi,60,150,240
H11,yH448,yap1_ko,0Pi,60,150,240
A12,yH452,skn7yap1_ko,0Pi,60,150,240
B12,yH453,skn7yap1_ko,0Pi,60,150,240
C12,,,,,,
D12,,,,,,
E12,,,,,,
F12,,,,,,
G12,,,,,,
H12,,,,,,
